名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
红骊	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色中等马，实力不错，价格公道。	4	20000	5	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	40										
红骊	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色中等马，实力不错，价格公道。	4	20000	6	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	45										
大宛汗血马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	大宛国特产的名马，千金难买。	4	50000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
大宛汗血马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	大宛国特产的名马，千金难买。	4	50000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
赤骥	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	也就是骐骥，周穆王八骏之一。	4	100000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
赤骥	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	也就是骐骥，周穆王八骏之一。	4	100000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
乌云踏雪	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	绝世名马，关外名驹，千里绝群。	5	500000	1	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
赤兔	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"追风逐电，赤兔超光,灵逸神骏的名马。"	5	500000	2	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
绝影	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	绝世名马，充满霸气，曾为曹操坐骑。	5	500000	3	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
的卢	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	马中极品，追风绝地，飞翻奔霄。	5	500000	4	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
照夜玉狮子	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	具有奇特力量的神驹，踏雾登云气力长。	5	500000	5	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
乌云踏雪	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	绝世名马，关外名驹，千里绝群。	5	500000	6	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
赤兔	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"追风逐电，赤兔超光,灵逸神骏的名马。"	5	500000	7	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
绝影	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	绝世名马，充满霸气，曾为曹操坐骑。	5	500000	8	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
的卢	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	马中极品，追风绝地，飞翻奔霄。	5	500000	9	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
照夜玉狮子	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	具有奇特力量的神驹，踏雾登云气力长。	5	500000	10	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
奔宵	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	周穆王八骏之一，野行千里。	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500										36	120										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
翻羽	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	周穆王八骏之一，行越飞禽。	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	1	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	2	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	3	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	4	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	5	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	6	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	7	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	8	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	9	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
飞云	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	周穆王八骏之一，驰速穿云。	5	100000	10	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	1	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	2	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	3	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	4	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	5	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	6	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	7	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	8	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	9	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
赤龙驹	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	梁时神马，御风而行，翩若惊鸿。	6	500000	10	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10							36	130	46	1								
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
绝地	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	周穆王八骏之一，足不践土。	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	1	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	2	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	3	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	4	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	5	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	6	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	7	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	8	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	9	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
逾辉	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	周穆王八骏之一，毛色炳耀。	5	500000	10	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130	46	1								
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
腾雾	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	周穆王八骏之一，乘云而奔。	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
超光	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	周穆王八骏之一，一形十影。	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
超光	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	周穆王八骏之一，一形十影。	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
超光	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	周穆王八骏之一，一形十影。	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
