物品索引（行数减1）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
1644	100	0	0	0	0	0	0	0	0	0
1645	50	0	0	0	0	0	0	0	0	0
1646	50	0	0	0	0	0	0	0	0	0
1647	50	0	0	0	0	0	0	0	0	0
1648	50	0	0	0	0	0	0	0	0	0
1649	50	0	0	0	0	0	0	0	0	0
1650	50	0	0	0	0	0	0	0	0	0
1652	5	0	0	0	0	0	0	0	0	0
1664	50	0	0	0	0	0	0	0	0	0
1665	50	0	0	0	0	0	0	0	0	0
1666	50	0	0	0	0	0	0	0	0	0
1667	50	0	0	0	0	0	0	0	0	0
1671	50	0	0	0	0	0	0	0	0	0
1672	50	0	0	0	0	0	0	0	0	0
1673	10	0	0	0	0	0	0	0	0	0
1674	10	0	0	0	0	0	0	0	0	0
1675	10	0	0	0	0	0	0	0	0	0
1677	10	0	0	0	0	0	0	0	0	0
1678	10	0	0	0	0	0	0	0	0	0
1724	50	0	0	0	0	0	0	0	0	0
1725	50	0	0	0	0	0	0	0	0	0
1732	10	0	0	0	0	0	0	0	0	0
1753	50	0	0	0	0	0	0	0	0	0
1787	100	0	0	0	0	0	0	0	0	0
1788	100	0	0	0	0	0	0	0	0	0
1789	100	0	0	0	0	0	0	0	0	0
1790	100	0	0	0	0	0	0	0	0	0
1805	50	0	0	0	0	0	0	0	0	0
1806	50	0	0	0	0	0	0	0	0	0
1807	50	0	0	0	0	0	0	0	0	0
1808	50	0	0	0	0	0	0	0	0	0
1809	50	0	0	0	0	0	0	0	0	0
1810	50	0	0	0	0	0	0	0	0	0
1811	50	0	0	0	0	0	0	0	0	0
1812	50	0	0	0	0	0	0	0	0	0
1813	50	0	0	0	0	0	0	0	0	0
1814	50	0	0	0	0	0	0	0	0	0
1816	50	0	0	0	0	0	0	0	0	0
1817	50	0	0	0	0	0	0	0	0	0
1828	50	0	0	0	0	0	0	0	0	0
1831	50	0	0	0	0	0	0	0	0	0
1830	10	0	0	0	0	0	0	0	0	0
1833	100	0	0	0	0	0	0	0	0	0
1839	100	0	0	0	0	0	0	0	0	0
1842	100	0	0	0	0	0	0	0	0	0
1870	50	0	0	0	0	0	0	0	0	0
1865	100	0	0	0	0	0	0	0	0	0
1868	100	0	0	0	0	0	0	0	0	0
1874	50	0	0	0	1	1	1	1	0	0
1875	50	0	0	0	1	1	1	1	0	0
1876	50	0	0	0	1	1	1	1	0	0
1877	50	0	0	0	1	1	1	1	0	0
1878	50	0	0	0	1	1	1	1	0	0
1879	50	0	0	0	1	1	1	1	0	0
1880	50	0	0	0	1	1	1	1	0	0
1881	50	0	0	0	1	1	1	1	0	0
1882	50	0	0	0	1	1	1	1	0	0
1883	50	0	0	0	1	1	1	1	0	0
1884	50	0	0	0	1	1	1	1	0	0
1885	50	0	0	0	1	1	1	1	0	0
1886	50	0	0	0	1	1	1	1	0	0
1887	50	0	0	0	1	1	1	1	0	0
1893	50	0	0	0	0	0	0	0	0	0
1930	100	0	0	0	0	0	0	0	0	0
1941	100	0	0	0	1	1	1	1	0	0
1952	50	0	0	0	1	1	1	1	0	0
1955	50	0	0	0	1	1	1	1	0	0
1956	50	0	0	0	1	1	1	1	0	0
1987	50	0	0	0	1	1	1	1	0	0
1988	50	0	0	0	1	1	1	1	0	0
1989	50	0	0	0	1	1	1	1	0	0
1990	50	0	0	0	1	1	1	1	0	0
1991	50	0	0	0	1	1	1	1	0	0
1992	50	0	0	0	1	1	1	1	0	0
1993	50	0	0	0	1	1	1	1	0	0
1994	50	0	0	0	1	1	1	1	0	0
1995	50	0	0	0	1	1	1	1	0	0
2031	50	0	0	0	1	1	1	1	0	0
2032	50	0	0	0	1	1	1	1	0	0
2033	50	0	0	0	1	1	1	1	0	0
2060	50	0	0	0	1	1	1	1	0	0
2061	50	0	0	0	1	1	1	1	0	0
2062	50	0	0	0	1	1	1	1	0	0
2064	50	0	0	0	1	1	1	1	0	0
2065	50	0	0	0	1	1	1	1	0	0
2066	50	0	0	0	1	1	1	1	0	0
2067	10	0	0	0	1	1	1	1	0	0
2095	10	0	0	0	0	0	0	0	0	0
2098	10	0	0	0	0	0	0	0	0	0
2099	10	0	0	0	0	0	0	0	0	0
2100	10	0	0	0	0	0	0	0	0	0
2101	10	0	0	0	0	0	0	0	0	0
2102	10	0	0	0	0	0	0	0	0	0
2105	10	0	0	0	0	0	0	0	0	0
2107	10	0	0	0	0	0	0	0	0	0
2118	100	0	0	0	0	0	0	0	0	0
2119	50	0	0	0	0	0	0	0	0	0
2121	10	0	0	0	0	0	0	0	0	0
2122	100	0	0	0	0	0	0	0	0	0
2123	50	0	0	0	0	0	0	0	0	0
2133	10	0	0	0	0	0	0	0	0	0
2141	50	0	0	0	0	0	0	0	0	0
2142	50	0	0	0	0	0	0	0	0	0
2143	50	0	0	0	0	0	0	0	0	0
2144	50	0	0	0	0	0	0	0	0	0
2162	100	0	0	0	0	0	0	0	0	0
2163	100	0	0	0	0	0	0	0	0	0
2164	100	0	0	0	0	0	0	0	0	0
2165	100	0	0	0	0	0	0	0	0	0
2166	100	0	0	0	0	0	0	0	0	0
2167	100	0	0	0	0	0	0	0	0	0
2220	10	0	0	0	0	0	0	0	0	0
2221	50	0	0	0	0	0	0	0	0	0
2254	50	0	0	0	0	0	0	0	0	0
2255	50	0	0	0	0	0	0	0	0	0
2256	50	0	0	0	0	0	0	0	0	0
2258	50	0	0	0	0	0	0	0	0	0
2265	100	0	0	0	0	0	0	0	0	0
2261	10	0	0	0	0	0	0	0	0	0
2268	50	0	0	0	0	0	0	0	0	0
2269	100	0	0	0	0	0	0	0	0	0
2270	100	0	0	0	0	0	0	0	0	0
2271	100	0	0	0	0	0	0	0	0	0
2272	100	0	0	0	0	0	0	0	0	0
2277	50	0	0	0	0	0	0	0	0	0
2278	50	0	0	0	0	0	0	0	0	0
2279	50	0	0	0	0	0	0	0	0	0
2280	50	0	0	0	0	0	0	0	0	0
2281	50	0	0	0	0	0	0	0	0	0
2282	50	0	0	0	0	0	0	0	0	0
2283	10	0	0	0	0	0	0	0	0	0
2285	10	0	0	0	0	0	0	0	0	0
2286	10	0	0	0	0	0	0	0	0	0
2287	50	0	0	0	0	0	0	0	0	0
2288	50	0	0	0	0	0	0	0	0	0
2289	50	0	0	0	0	0	0	0	0	0
2290	200	0	0	0	0	0	0	0	0	0
2291	200	0	0	0	0	0	0	0	0	0
2293	20	0	0	0	0	0	0	0	0	0
2294	20	0	0	0	0	0	0	0	0	0
2295	20	0	0	0	0	0	0	0	0	0
2296	20	0	0	0	0	0	0	0	0	0
2297	20	0	0	0	0	0	0	0	0	0
2298	20	0	0	0	0	0	0	0	0	0
2299	20	0	0	0	0	0	0	0	0	0
2300	20	0	0	0	0	0	0	0	0	0
2301	20	0	0	0	0	0	0	0	0	0
2302	50	0	0	0	0	0	0	0	0	0
2306	50	0	0	0	0	0	0	0	0	0
2307	50	0	0	0	0	0	0	0	0	0
2308	50	0	0	0	0	0	0	0	0	0
2322	50	0	0	0	0	0	0	0	0	0
2323	50	0	0	0	0	0	0	0	0	0
2324	50	0	0	0	0	0	0	0	0	0
2325	50	0	0	0	0	0	0	0	0	0
2329	50	0	0	0	0	0	0	0	0	0
2330	50	0	0	0	0	0	0	0	0	0
2331	50	0	0	0	0	0	0	0	0	0
2332	50	0	0	0	0	0	0	0	0	0
2333	50	0	0	0	0	0	0	0	0	0
2352	100	0	0	0	0	0	0	0	0	0
2353	100	0	0	0	0	0	0	0	0	0
2355	100	0	0	0	0	0	0	0	0	0
2356	100	0	0	0	0	0	0	0	0	0
2358	50	0	0	0	0	0	0	0	0	0
2359	100	0	0	0	0	0	0	0	0	0
2365	50	0	0	0	0	0	0	0	0	0
2366	50	0	0	0	0	0	0	0	0	0
2384	50	0	0	0	0	0	0	0	0	0
2385	50	0	0	0	0	0	0	0	0	0
2386	50	0	0	0	0	0	0	0	0	0
2387	50	0	0	0	0	0	0	0	0	0
2388	50	0	0	0	0	0	0	0	0	0
2389	50	0	0	0	0	0	0	0	0	0
2390	50	0	0	0	0	0	0	0	0	0
2450	50	0	0	0	0	0	0	0	0	0
2451	50	0	0	0	0	0	0	0	0	0
2452	50	0	0	0	0	0	0	0	0	0
2453	50	0	0	0	0	0	0	0	0	0
2454	50	0	0	0	0	0	0	0	0	0
2455	50	0	0	0	0	0	0	0	0	0
2456	50	0	0	0	0	0	0	0	0	0
2457	50	0	0	0	0	0	0	0	0	0
2458	50	0	0	0	0	0	0	0	0	0
2465	50	0	0	0	0	0	0	0	0	0
2466	50	0	0	0	0	0	0	0	0	0
2467	50	0	0	0	0	0	0	0	0	0
2468	50	0	0	0	0	0	0	0	0	0
2469	50	0	0	0	0	0	0	0	0	0
2470	50	0	0	0	0	0	0	0	0	0
2471	50	0	0	0	0	0	0	0	0	0
2472	50	0	0	0	0	0	0	0	0	0
2473	50	0	0	0	0	0	0	0	0	0
2474	50	0	0	0	0	0	0	0	0	0
2475	50	0	0	0	0	0	0	0	0	0
2476	50	0	0	0	0	0	0	0	0	0
2478	50	0	0	0	0	0	0	0	0	0
2479	50	0	0	0	0	0	0	0	0	0
2480	50	0	0	0	0	0	0	0	0	0
2481	50	0	0	0	0	0	0	0	0	0
2482	50	0	0	0	0	0	0	0	0	0
2485	50	0	0	0	0	0	0	0	0	0
2486	50	0	0	0	0	0	0	0	0	0
2540	50	0	0	0	0	0	0	0	0	0
2541	10	0	0	0	1	0	0	0	0	0
2545	50	0	0	0	0	0	0	0	0	0
2328	50	0	0	0	0	0	0	0	0	0
2561	50	0	0	0	0	0	0	0	0	0
2563	50	0	0	0	0	0	0	0	0	0
2564	50	0	0	0	0	0	0	0	0	0
2565	50	0	0	0	0	0	0	0	0	0
2566	50	0	0	0	0	0	0	0	0	0
2567	50	0	0	0	0	0	0	0	0	0
2568	50	0	0	0	0	0	0	0	0	0
2569	20	0	0	0	0	0	0	0	0	0
2572	50	0	0	0	0	0	0	0	0	0
2577	50	0	0	0	0	0	0	0	0	0
2578	3	0	0	0	0	0	0	0	0	0
2579	3	0	0	0	0	0	0	0	0	0
2580	3	0	0	0	0	0	0	0	0	0
2581	3	0	0	0	0	0	0	0	0	0
2601	50	0	0	0	0	0	0	0	0	0
2602	50	0	0	0	0	0	0	0	0	0
2603	50	0	0	0	0	0	0	0	0	0
2604	50	0	0	0	0	0	0	0	0	0
2605	50	0	0	0	0	0	0	0	0	0
2609	50	0	0	0	0	0	0	0	0	0
2610	50	0	0	0	0	0	0	0	0	0
2611	50	0	0	0	0	0	0	0	0	0
2612	50	0	0	0	0	0	0	0	0	0
2613	50	0	0	0	0	0	0	0	0	0
2614	50	0	0	0	0	0	0	0	0	0
2615	50	0	0	0	0	0	0	0	0	0
2616	50	0	0	0	0	0	0	0	0	0
2617	50	0	0	0	0	0	0	0	0	0
2618	50	0	0	0	0	0	0	0	0	0
2619	50	0	0	0	0	0	0	0	0	0
2635	10	0	0	0	0	0	0	0	0	0
2636	10	0	0	0	0	0	0	0	0	0
2637	10	0	0	0	0	0	0	0	0	0
2638	10	0	0	0	0	0	0	0	0	0
2639	10	0	0	0	0	0	0	0	0	0
2640	10	0	0	0	0	0	0	0	0	0
2641	10	0	0	0	0	0	0	0	0	0
2642	10	0	0	0	0	0	0	0	0	0
2644	50	0	0	0	0	0	0	0	0	0
2645	10	0	0	0	0	0	0	0	0	0
2649	100	0	0	0	0	0	0	0	0	0
2650	10	0	0	0	0	0	0	0	0	0
2660	10	0	0	0	0	0	0	0	0	0
2661	10	0	0	0	0	0	0	0	0	0
2662	10	0	0	0	0	0	0	0	0	0
2663	10	0	0	0	0	0	0	0	0	0
2664	10	0	0	0	0	0	0	0	0	0
2667	10	0	0	0	0	0	0	0	0	0
2668	10	0	0	0	0	0	0	0	0	0
2710	50	0	0	0	0	0	0	0	0	0
2711	50	0	0	0	0	0	0	0	0	0
2712	50	0	0	0	0	0	0	0	0	0
2713	50	0	0	0	0	0	0	0	0	0
2714	50	0	0	0	0	0	0	0	0	0
2715	50	0	0	0	0	0	0	0	0	0
2718	50	0	0	0	0	0	0	0	0	0
2719	50	0	0	0	0	0	0	0	0	0
2720	50	0	0	0	0	0	0	0	0	0
3359	50	0	0	0	0	0	0	0	0	0
