Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID	
Tø Kh«ng Tö Kim Cµ Sa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	320	718	307	178	756	3	3	2			2	7							12
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	309	177	311	416	425	3	3	3			2	7							13
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	0							2	417	326	311	6	179	3	3	4			2	7							14
Tø Kh«ng Giíi LuËt Ph¸p giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80	39	0									129	130					3	3	5			2	7							15
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							135	50	46	69	110	73	4	4	1			2	7							16
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	40	318	757	311	180	4	4	2			2	7							17
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	160	160	31	80	80																36	95	32	135	39	1							2	309	191	311	416	156	4	4	3			2	7							18
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129	130					4	4	4			2	7							19
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	320	192	419	319	190	4	4	5			2	7							20
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					57	51	46	69	110	73	5	5	1			2	7							21
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	99999	10	0	30	720	720	31	90	90																36	95	32	260	39	1							2	40	185	79			5	5	2			2	7							22
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	160	160	31	80	80																36	90	32	135	39	1							2	309	188	311	416	156	5	5	3			2	7							23
KÕ NghiÖp HáaV©n Kú L©n Thñ 	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129	130					5	5	4			2	7							24
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	320	763	758	88	186	5	5	5			2	7							25
Ngù Long L­îng Ng©n B¶o ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							57	52	46	69	110	73	6	6	1			2	7							26
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	0	99999	10	0																						36	90	39	1									2	438	79	107	280		6	6	2			2	7							27
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	309	182	311	416	156	6	6	3			2	7							28
Ngù Long TÊn Phong Hé yÓn	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2	311	319	327	423	181	6	6	4			2	7							29
Ngù Long TuyÖt MÖnh ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	1									129	130					6	6	5			2	7							30
V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							2	43	48	71	113	157	7	7	1			2	7							31
V« Gian Thanh Phong Truy Y	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719	320	718	313	194	193	7	7	2			2	7							32
V« Gian PhÊt V©n Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418	309	196	307	6	425	7	7	3			2	7							33
V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2	329	439	307	6	328	7	7	4			2	7							34
V« Gian B¹ch Ngäc Bµn ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80	39	4									129	130					7	7	5			2	7							35
V« Ma Ma Ni qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2	307	420	309	6	427	8	8	1			2	7							36
V« Ma Tö Kh©m Cµ Sa	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2	312	718	309	195	427	8	8	2			2	7							37
V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	4	99999	10	0	31	80	80																			36	80	39	4									129	130					8	8	3			2	7							38
V« Ma TÈy T­îng Ngäc KhÊu 	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	31	60	60																			36	95	39	4									1	304	57	146	198	200	8	8	4			2	7							39
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2	320	199	88	8	330	8	8	5			2	7							40
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418	309	197	312	421	420	9					2	7							41
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	99	39	4									2	88	331	95	8	107	9					2	7							42
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80	39	4									129	130					9					2	7							43
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	31	60	60																			36	120	39	4									2	88	718	420	158	201	9					2	7							44
V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0	31	80	80																			36	85	39	4									2	419	6	203	417	115	9					2	7							45
Tª Hoµng Phông Nghi ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							2	43	48	71	113	159	10	9	1			2	7							46
Tª Hoµng TuÖ T©m Khinh Sa Y	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	31	60	60																			36	120	39	5									759	88	39	423	205	207	10	9	2			2	7							47
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2	309	206	307	6	773	10	9	3			2	7							48
Tª Hoµng B¨ng Tung CÈm uyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2	333	439	307	6	204	10	9	4			2	7							49
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80	39	5									129	130					10	9	5			2	7							50
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bÞ Hoµng Kim	2	99999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							4	304	209	148	8	159	11	10	1			2	7							51
BÝch H¶i Hoµn Ch©u Vò Liªn	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719	88	718	420	291	211	11	10	2			2	7							52
BÝch H¶i Hång Linh Kim Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	419	421	422	11	10	3			2	7							53
BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ Hoµng Kim	0	99999	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282	11	10	4			2	7							54
BÝch H¶i Khiªn TÕ ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	5									129	130					11	10	5			2	7							55
U Lung Kim Xµ Ph¸t ®¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160	12	11	1			2	7							56
U Lung XÝch YÕt MËt trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616	771	306	423	311	334	12	11	2			2	7							57
U Lung Thanh Ng« TriÒn yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ Hoµng Kim	0	99999	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	307	6	423	12	11	3			2	7							58
U Lung Ng©n ThÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	4	99999	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129	130					12	11	4			2	7							59
U Lung MÆc Thï NhuyÔn Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	140	140	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12	11	5			2	7							60
Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							46	69	113	73	41	75	13	12	1			2	7							61
Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	99999	10	0	30	720	720	31	90	90																36	90	32	260	39	3							418	336	306	307	6	417	13	12	2			2	7							62
Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	99999	10	0																						36	80	39	3									129	130					13	12	3			2	7							63
Minh ¶o Hñ Cèt Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	307	335	425	13	12	4			2	7							64
Minh ¶o Song Hoµn Xµ Hµi	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616	312	718	416	231	230	13	12	5			2	7							65
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	99999	10	0	30	315	315	31	85	85																36	85	32	110	39	3							2	337	6	307	233	31	14					2	7							66
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	3	99999	10	0																						36	99	39	3									2	93	234	95	8	107	14					2	7							67
Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	3									129	130					14					2	7							68
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418	309	161	312	421	423	14					2	7							69
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Trang bÞ Hoµng Kim	3	99999	10	0	31	60	60																			36	120	39	3									2	312	718	416	236	235	14					2	7							70
B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ Hoµng Kim	0	99999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					2	44	46	69	113	162	15	13	1			2	7							71
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ Hoµng Kim	4	99999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					418	338	306	307	6	215	15	13	2			2	7							72
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	212	307	6	423	15	13	3			2	7							73
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	2									129	130					15	13	4			2	7							74
B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616	320	762	311	213	214	15	13	5			2	7							75
Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ Hoµng Kim	0	99999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					8	43	48	71	113	162	16	14	1			2	7							76
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	4	99999	10	0																						36	95			39	2							2	317	212	107	8		16	14	2			2	7							77
Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	307	6	425	16	14	3			2	7							78
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616	320	762	311	339	216	16	14	4			2	7							79
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80			39	2							129	130					16	14	5			2	7							80
S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ Hoµng Kim	0	99999	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					4	43	48	71	113	162	17	15	1			2	7							81
S©m Hoang KimTiÒn Liªn Hoµn Gi¸p	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	Trang bÞ Hoµng Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					759	306	718	311	218	212	17	15	2			2	7							82
S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	219	307	6	423	17	15	3			2	7							83
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	2									129	130					17	15	4			2	7							84
