名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)	是否需要使用目标	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
武林秘籍	6	1	26	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了武林中大多数武功的秘籍，对武林人士有很大帮助。<enter>使用后获得1点技能点。		100	1	0	\script\item\wulin-miji.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
袖箭术·暴雨梨花	6	1	27	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了唐门暴雨梨花的秘密，唐门弟子因此可以拥有暴雨梨花这项能力。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
陷阱术·乱环击	6	1	28	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门陷阱术中乱环击篇，学习可以获得乱环击陷阱技巧。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
浑石裂	6	1	29	\spr\item\script\gc_npc_01.spr	336	2	2	使用后可组装一台投石车为您攻击守城的敌人。		10000	1	0	\script\item\toushiche.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
孽龙冲车	6	1	30	\spr\item\script\gc_npc_02.spr	336	2	2	使用后可组装一台攻城车为您攻击城门。		10000	1	0	\script\item\gongchengche.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
云旗兵符	6	1	31	\spr\item\script\gc_npc_03.spr	336	2	2	可以召来一名旗手，为周围的伙伴恢复生命。		10000	1	0	\script\item\yaoqishibing.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
鼋鼓兵符	6	1	32	\spr\item\script\gc_npc_04.spr	336	2	2	可以召来一名鼓手，为周围的伙伴增加抗性。		10000	1	0	\script\item\leigushibing.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
太极拳谱·卷三	6	1	33	\spr\item\questkey\obj_item_lection.spr	341	1	1	武当太极拳法的秘录，仔细钻研可以习得<天地无极>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
太极剑谱·卷二	6	1	34	\spr\item\questkey\obj_item_lection.spr	341	1	1	记述武当绝技太极剑法的高深招数，学习可以获得<人剑合一>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
云龙击·矛法	6	1	35	\spr\item\questkey\obj_item_lection.spr	341	1	1	记录了天忍矛法的高级招式，学习可获得<云龙击>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
流星·刀法	6	1	36	\spr\item\questkey\obj_item_lection.spr	341	1	1	天忍刀法中高级招式的文字记录，学习可获得<天外流星>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
天王锤法·卷一	6	1	37	\spr\item\questkey\obj_item_lection.spr	341	1	1	书中纹绘了天王锤法的各种精要动作，仔细研习可以学的<追风诀>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
天王枪法·卷二	6	1	38	\spr\item\questkey\obj_item_lection.spr	341	1	1	天王枪法第三卷，记录了<追星逐月>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
天王刀法·卷三	6	1	39	\spr\item\questkey\obj_item_lection.spr	341	1	1	详细描述了天王刀法的各个精要招式，研习可以获得<破天斩>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
翠烟刀法	6	1	40	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述翠烟刀法的武功秘籍，可以从中学得<冰踪无影>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
翠烟双刀	6	1	41	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述翠烟双刀的武功秘籍，可以从中学得<冰心仙子>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
灭剑秘籍	6	1	42	\spr\item\questkey\obj_item_lection.spr	341	1	1	峨嵋灭剑秘籍，其中记载了灭剑中的绝妙招式<三峨霁雪>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
峨嵋佛光掌秘籍	6	1	43	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述峨嵋掌法中高级招式<风霜碎影>的书籍。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
替身丸	6	1	44	\spr\item\medecine\obj-potion15.spr	19	1	1	使用后增加挂机时间1个小时/个，最多可同时使用24个		6000	1	0	\script\missions\chatworld\use_autopill.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
飞刀术·摄魂月影	6	1	45	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门飞刀术，学习可获得<慑魂月影>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
飞镖术·九宫飞星	6	1	46	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门飞镖术，学习可获得<九宫飞星>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
五毒掌法·卷一	6	1	47	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒掌法，学习可获得<阴风蚀骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
五毒刀法·卷二	6	1	48	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒刀法，学习可获得<玄阴斩>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
五毒慑心术·卷三	6	1	49	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒辅助心法，学习可获得<断筋腐骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
驭风术	6	1	50	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑刀法，学习后可获得<傲雪啸风>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
驭雷术	6	1	51	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑剑法，学习后可获得<雷动九天>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
驭心术	6	1	52	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑心法，学习后可获得<醉仙错骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
摄魂·诅咒	6	1	53	\spr\item\questkey\obj_item_lection.spr	341	1	1	天忍诅咒的高级招式，研习可从中学得<慑魂乱心>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
丐帮掌法	6	1	54	\spr\item\questkey\obj_item_lection.spr	341	1	1	丐帮掌法，学习后可获得<飞龙在天>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
丐帮棍法	6	1	55	\spr\item\questkey\obj_item_lection.spr	341	1	1	丐帮棍法，学习后可获得<天下无狗>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
少林拳法·卷一	6	1	56	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林拳法，学习后可获得<达摩渡江>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
少林棍法·卷二	6	1	57	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林棍法，学习后可获得<横扫千军>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
少林刀法·卷三	6	1	58	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林刀法，学习后可获得<无相斩>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
普渡秘籍	6	1	59	\spr\item\questkey\obj_item_lection.spr	341	1	1	普渡秘籍，记载了<普渡众生>的招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
板栗粽子	6	0	60	\spr\item\questkey\taskobj401.spr	366	1	1	吃过以后10分钟内，攻击速度增加20		100	1	0	0	401	1	1	0	1		0	0	0	0	0	0	0	0	0	0
猪肉粽子	6	0	61	\spr\item\questkey\taskobj402.spr	366	1	1	吃过以后10分钟内，生命和内力增加100％		100	1	0	0	402	1	1	0	1		0	0	0	0	0	0	0	0	0	0
牛肉粽子	6	0	62	\spr\item\questkey\taskobj403.spr	366	1	1	吃过以后10分钟内，所有抗性增加5％		100	1	0	0	403	1	1	0	1		0	0	0	0	0	0	0	0	0	0
什锦粽子	6	1	63	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加1000点经验		100	1	0	\script\item\shijin01.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
蜜饯什锦粽子	6	1	64	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加5000的经验		100	1	0	\script\item\shijin02.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
八宝什锦粽子	6	1	65	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加30000点经验		100	1	0	\script\item\shijin03.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
百果什锦粽子	6	1	66	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加100000点经验		100	1	0	\script\item\shijin04.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
水晶什锦粽子	6	1	67	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加500000点的经验		100	1	0	\script\item\shijin05.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
屈原什锦粽子	6	1	68	\spr\item\questkey\taskobj405.spr	366	1	1	提升人物等级1级（经验最多提升2亿点），但吃后会对什锦类粽子产生抗性		100	1	0	\script\item\shijin06.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
黄金宝箱	6	1	69	\spr\item\script\item_goldenbox.spr	367	2	2	一个金光闪闪的盒子，上面雕刻着神秘的花纹。使用后可以随机得到一样物品		2000	1	0	\script\item\goldenbox.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
幸运粽子	6	0	70	\spr\item\questkey\taskobj405.spr	366	1	1	吃过半个小时内，提升幸运30点，不过只能在吃的地方发挥作用		100	1	0	0	410	1	1	0	1		0	0	0	0	0	0	0	0	0	0
仙草露	6	1	71	\spr\item\medecine\xiancaolu.spr	370	1	1	1小时内，打怪练级经验加倍。（重复使用无效）		5	1	0	\script\item\xiancaolu.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
天山玉露	6	1	72	\spr\item\medecine\tianshanyulu.spr	370	1	1	1小时内，幸运增加10点。（重复使用无效）		5	1	0	\script\item\tianshanyulu.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
百果露	6	1	73	\spr\item\medecine\baiguolu.spr	370	1	1	1小时内，所有抗性增加15点。（重复使用无效）		5	1	0	\script\item\baiguolu.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
白驹丸	6	1	74	\spr\item\medecine\baijuwan.spr	19	1	1	一颗白驹丸，使用后可获得1小时的离线托管时间。		5	1	0	\script\item\baijuwan.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
彩票	6	1	75	\spr\obj\item\caipiao.spr	38	1	1	一张关于雅典盛会的彩票。		10	1	0	\script\item\lottery.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
黄金彩票	6	1	76	\spr\obj\item\huangjincaipiao.spr	38	1	1	有可能兑换黄金装备的彩票		0	1	0	\script\item\golden.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
宋金轮回卷一	6	1	77	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷一，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui1.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
宋金轮回卷二	6	1	78	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷二，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui2.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
宋金轮回卷三	6	1	79	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷三，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui3.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
宋金轮回卷四	6	1	80	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷四，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui4.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
宋金轮回卷五	6	1	81	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷五，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui5.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
初啼江湖卷一	6	1	82	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷一，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu1.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
初啼江湖卷二	6	1	83	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷二，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu2.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
初啼江湖卷三	6	1	84	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷三，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu3.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
初啼江湖卷四	6	1	85	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷四，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu4.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
初啼江湖卷五	6	1	86	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷五，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu5.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷一	6	1	87	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷一，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin1.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷二	6	1	88	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷二，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin2.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷三	6	1	89	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷三，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin3.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷四	6	1	90	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷四，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin4.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷五	6	1	91	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷五，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin5.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷六	6	1	92	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷六，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin6.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
上手指引卷七	6	1	93	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷七，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin7.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷一	6	1	94	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷一，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu1.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷二	6	1	95	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷二，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu2.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷三	6	1	96	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷三，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu3.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷四	6	1	97	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷四，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu4.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷五	6	1	98	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷五，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu5.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷六	6	1	99	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷六，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu6.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷七	6	1	100	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷七，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu7.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
擒怪伏魔谱卷八	6	1	101	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷八，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu8.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·天王篇	6	1	102	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·天王篇，记录了天王主线技能，右击阅读		800	1	1	\script\item\wulinmilu_tianwang.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·少林篇	6	1	103	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·少林篇，记录了少林主线技能，右击阅读		800	1	1	\script\item\wulinmilu_shaolin.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·唐门篇	6	1	104	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·唐门篇，记录了唐门主线技能，右击阅读		800	1	1	\script\item\wulinmilu_tangmen.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·五毒篇	6	1	105	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·五毒篇，记录了五毒主线技能，右击阅读		800	1	1	\script\item\wulinmilu_wudu.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·峨嵋篇	6	1	106	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·峨嵋篇，记录了峨嵋主线技能，右击阅读		800	1	1	\script\item\wulinmilu_emei.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·翠烟篇	6	1	107	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·翠烟篇，记录了翠烟主线技能，右击阅读		800	1	1	\script\item\wulinmilu_cuiyan.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·丐帮篇	6	1	108	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·丐帮篇，记录了丐帮主线技能，右击阅读		800	1	1	\script\item\wulinmilu_gaibang.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·天忍篇	6	1	109	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·天忍篇，记录了天忍主线技能，右击阅读		800	1	1	\script\item\wulinmilu_tianren.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·武当篇	6	1	110	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·武当篇，记录了武当主线技能，右击阅读		800	1	1	\script\item\wulinmilu_wudang.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
武林秘录·昆仑篇	6	1	111	\spr\item\questkey\obj_item_lection02.spr	374	1	1	武林秘录·昆仑篇，记录了昆仑主线技能，右击阅读		800	1	1	\script\item\wulinmilu_kunlun.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
仙草丸	6	1	113	\spr\item\medecine\xiancaolu.spr	370	1	1	1小时内，打怪练级经验额外增加50%（重复使用无效）		5	1	1	\script\item\xiancaowan.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
研玉丸	6	1	114	\spr\item\medecine\hulu.spr	370	1	1	1小时内，技能熟练度掌握速度增加50%（重复使用无效）		5	1	1	\script\item\yanyuwan.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
