suffix name	Whether to prefix	Five Elements Attribute Requirements	Level requirements	Property adjustment category	Parameter 1 minimum value	Parameter 1 maximum value	Parameter 2 minimum value	Parameter 2 maximum value	Parameter 3 minimum value	Parameter 3 maximum value	Effect description	close range weapons	hidden weapon	armor	ring	necklace	boots	belt	helmet	wrist braces	waist pendant	horse
TØ lÖ c«ng kÝch chÝnh x¸c	1		6	166	150	180	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		7	166	180	210	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		8	166	210	240	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		9	166	240	270	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		10	166	270	300	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		2	115	10	10	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		5	115	20	20	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		9	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
Bá qua nÐ tr¸nh	1		10	58	1	1	-1	-1	0	0	Bá qua nÐ tr¸nh	10000	10000	0	0	0	0	0	0	0	0	0
Kh«ng thÓ ph¸ hñy	1		10	43	1	1	-1	-1	0	0	Kh«ng thÓ ph¸ hñy	100	100	100	0	0	100	100	100	100	0	0
Phßng thñ VËt lý	1		1	150	20	30	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		2	150	30	40	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		3	150	40	50	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		4	150	50	60	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		5	150	60	70	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		6	150	70	85	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		7	150	85	110	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		8	150	110	150	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		9	150	150	200	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Phßng thñ VËt lý	1		10	150	200	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é di chuyÓn	1		2	111	10	15	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Tèc ®é di chuyÓn	1		4	111	15	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Tèc ®é di chuyÓn	1		6	111	20	25	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Tèc ®é di chuyÓn	1		8	111	25	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Tèc ®é di chuyÓn	1		10	111	30	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Ph¶n ®ßn cËn chiÕn	1		3	117	1	10	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
Ph¶n ®ßn cËn chiÕn	1		9	117	10	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		3	113	20	20	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		6	113	30	30	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		9	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		1	112	1	1	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		2	112	2	2	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		3	112	3	3	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		4	112	4	4	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		5	112	5	5	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		6	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
Kü n¨ng vèn cã	1		5	139	1	1	-1	-1	0	0	Kü n¨ng vèn cã	2	0	0	1	0	0	0	0	0	0	0
Kü n¨ng vèn cã	1		10	139	2	2	-1	-1	0	0	Kü n¨ng vèn cã	2	0	0	1	0	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		1	114	1	2	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	10000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		2	114	2	4	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	9000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		3	114	4	6	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	8000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		4	114	6	8	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	7000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		5	114	8	10	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	6000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		6	114	10	12	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	5000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		7	114	12	14	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	4000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		8	114	14	16	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	3000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		9	114	16	18	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	2000	0	0	0	0	0	0
Kh¸ng tÊt c¶	1		10	114	18	20	-1	-1	0	0	Kh¸ng tÊt c¶	0	0	0	0	1000	0	0	0	0	0	0
Hót Sinh lùc	1		2	136	1	3	-1	-1	0	0	Hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Hót Sinh lùc	1		5	136	3	5	-1	-1	0	0	Hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Hót Sinh lùc	1		7	136	5	7	-1	-1	0	0	Hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Hót Sinh lùc	1		10	136	7	10	-1	-1	0	0	Hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Hót Néi lùc	1		2	137	1	3	-1	-1	0	0	Hót Néi lùc	800	800	0	0	0	0	0	0	0	0	0
Hót Néi lùc	1		5	137	3	5	-1	-1	0	0	Hót Néi lùc	700	700	0	0	0	0	0	0	0	0	0
Hót Néi lùc	1		7	137	5	7	-1	-1	0	0	Hót Néi lùc	600	600	0	0	0	0	0	0	0	0	0
Hót Néi lùc	1		10	137	7	10	-1	-1	0	0	Hót Néi lùc	600	600	0	0	0	0	0	0	0	0	0
Sinh lùc	1		1	85	5	20	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Sinh lùc	1		2	85	20	40	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Sinh lùc	1		3	85	40	60	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Sinh lùc	1		4	85	60	80	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Sinh lùc	1		5	85	80	100	-1	-1	0	0	T¨ng Sinh lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Sinh lùc	1		6	85	100	120	-1	-1	0	0	T¨ng Sinh lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Sinh lùc	1		7	85	120	140	-1	-1	0	0	T¨ng Sinh lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Sinh lùc	1		8	85	140	160	-1	-1	0	0	T¨ng Sinh lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Sinh lùc	1		9	85	160	180	-1	-1	0	0	T¨ng Sinh lùc 	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
Sinh lùc	1		10	85	180	200	-1	-1	0	0	T¨ng Sinh lùc 	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
Néi lùc	1		1	89	5	20	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Néi lùc	1		2	89	20	40	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Néi lùc	1		3	89	40	60	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Néi lùc	1		4	89	60	80	-1	-1	0	0	T¨ng Néi lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Néi lùc	1		5	89	80	100	-1	-1	0	0	T¨ng Néi lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Néi lùc	1		6	89	100	120	-1	-1	0	0	T¨ng Néi lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Néi lùc	1		7	89	120	140	-1	-1	0	0	T¨ng Néi lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Néi lùc	1		8	89	140	160	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
Néi lùc	1		9	89	160	180	-1	-1	0	0	T¨ng Néi lùc 	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	0
Néi lùc	1		10	89	180	200	-1	-1	0	0	T¨ng Néi lùc 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
ThÓ lùc	1		1	93	5	20	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
ThÓ lùc	1		2	93	20	40	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
ThÓ lùc	1		3	93	40	60	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
ThÓ lùc	1		4	93	60	80	-1	-1	0	0	T¨ng thÓ lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
ThÓ lùc	1		5	93	80	100	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
ThÓ lùc	1		6	93	100	120	-1	-1	0	0	T¨ng thÓ lùc 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
ThÓ lùc	1		7	93	120	140	-1	-1	0	0	T¨ng thÓ lùc 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
ThÓ lùc	1		8	93	140	160	-1	-1	0	0	T¨ng thÓ lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
ThÓ lùc	1		9	93	160	180	-1	-1	0	0	T¨ng thÓ lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
ThÓ lùc	1		10	93	180	200	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
Phôc håi sinh lùc mçi nöa gi©y	1		1	88	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	2000	0	0	2000	2000	2000	2000	0	0
Phôc håi sinh lùc mçi nöa gi©y	1		3	88	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1800	0	0	1800	1800	1800	1800	0	0
Phôc håi sinh lùc mçi nöa gi©y	1		5	88	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1500	0	0	1500	1500	1500	1500	0	0
Phôc håi sinh lùc mçi nöa gi©y	1		6	88	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1000	0	0	1000	1000	1000	1000	0	0
Phôc håi sinh lùc mçi nöa gi©y	1		8	88	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	500	0	0	500	500	500	500	0	0
Phôc håi sinh lùc mçi nöa gi©y	1		10	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0
Phôc håi néi lùc mçi nöa gi©y	1		2	92	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3500	0
Phôc håi néi lùc mçi nöa gi©y	1		5	92	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3000	0
Phôc håi néi lùc mçi nöa gi©y	1		7	92	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2500	0
Phôc håi néi lùc mçi nöa gi©y	1		10	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2000	0
Phôc håi thÓ lùc mçi nöa gi©y	1		1	96	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Phôc håi thÓ lùc mçi nöa gi©y	1		3	96	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Phôc håi thÓ lùc mçi nöa gi©y	1		5	96	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Phôc håi thÓ lùc mçi nöa gi©y	1		6	96	7	7	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Phôc håi thÓ lùc mçi nöa gi©y	1		7	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Søc m¹nh	0	0	1	97	1	2	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0
Søc m¹nh	0	0	2	97	3	4	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	90000	90000	0	0	0	0	90000	0
Søc m¹nh	0	0	3	97	5	6	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	80000	80000	0	0	0	0	80000	0
Søc m¹nh	0	0	4	97	7	8	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	70000	70000	0	0	0	0	70000	0
Søc m¹nh	0	0	5	97	9	10	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	60000	60000	0	0	0	0	60000	0
Søc m¹nh	0	0	6	97	11	12	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	50000	50000	0	0	0	0	50000	0
Søc m¹nh	0	0	7	97	13	14	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	40000	40000	0	0	0	0	40000	0
Søc m¹nh	0	0	8	97	15	16	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	30000	30000	0	0	0	0	30000	0
Søc m¹nh	0	0	9	97	17	18	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Søc m¹nh	0	0	10	97	19	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0
STVL ngo¹i c«ng (®iÓm)	0	0	1	121	1	5	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	2	121	5	10	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	3	121	10	15	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	4	121	15	20	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	80000	80000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	5	121	20	25	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	70000	70000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	6	121	25	30	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	60000	60000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	7	121	30	35	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	40000	40000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	8	121	35	40	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	30000	30000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	9	121	40	45	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	10000	10000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (®iÓm)	0	0	10	121	45	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	5000	5000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	1	125	1	5	-1	-1	0	0	T¨ng s¸t §éc s¸t	100000	100000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	2	125	5	10	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	3	125	10	15	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	4	125	15	20	-1	-1	0	0	T¨ng s¸t §éc s¸t	80000	80000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	5	125	20	25	-1	-1	0	0	T¨ng s¸t §éc s¸t	70000	70000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	6	125	25	30	-1	-1	0	0	T¨ng s¸t §éc s¸t	60000	60000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	7	125	30	35	-1	-1	0	0	T¨ng s¸t §éc s¸t	40000	40000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	8	125	35	40	-1	-1	0	0	T¨ng s¸t §éc s¸t	30000	30000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	9	125	40	45	-1	-1	0	0	T¨ng s¸t §éc s¸t	10000	10000	0	0	0	0	0	0	0	0	0
§éc s¸t ngo¹i c«ng	0	1	10	125	45	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	5000	5000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	1	123	1	10	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	100000	100000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	2	123	10	20	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	3	123	20	30	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	4	123	30	40	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	80000	80000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	5	123	40	50	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	70000	70000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	6	123	50	60	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	60000	60000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	7	123	60	70	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	40000	40000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	8	123	70	80	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	30000	30000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	9	123	80	90	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	10000	10000	0	0	0	0	0	0	0	0	0
"""B¨ng s¸t ngo¹i c«ng"	0	2	10	123	90	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	5000	5000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	1	122	1	10	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	100000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	2	122	10	20	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	3	122	20	30	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	4	122	30	40	-1	-1	0	0	T¨ng Ho¶ s¸t	80000	80000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	5	122	40	50	-1	-1	0	0	T¨ng Ho¶ s¸t	70000	70000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	6	122	50	60	-1	-1	0	0	T¨ng Ho¶ s¸t	60000	60000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	7	122	60	70	-1	-1	0	0	T¨ng Ho¶ s¸t	40000	40000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	8	122	70	80	-1	-1	0	0	T¨ng Ho¶ s¸t	30000	30000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	9	122	80	90	-1	-1	0	0	T¨ng Ho¶ s¸t	10000	10000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t ngo¹i c«ng	0	3	10	122	90	100	-1	-1	0	0	T¨ng Ho¶ s¸t	5000	5000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	1	124	1	10	-1	-1	0	0	T¨ng L«i s¸t	100000	100000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	2	124	10	20	-1	-1	0	0	T¨ng L«i s¸t	90000	90000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	3	124	20	30	-1	-1	0	0	T¨ng L«i s¸t	90000	90000	0	0	0	0	0	0	0	0	0
