Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID
[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	320	588	718	8	307	637	789	789	790	790	3	903	909	3	2			2	7						
[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	652	652	311	598	416	641	425	643	3	777	809	3	3			2	7						
[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	676	676	3	849	853	3	4			2	7						
[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	883	882	3	5			2	7						
[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	766	767	4	1			2	7						
[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	318	832	757	757	311	598	791	791	4	901	911	4	2			2	7						
[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	653	653	311	598	416	641	647	647	4	779	811	4	3			2	7						
[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	879	878	4	4			2	7						
[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	677	677	419	638	319	678	679	679	4	846	855	4	5			2	7						
[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	766	767	5	1			2	7						
[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	680	680	79	311	685	319	686	686	5	848	854	5	2			2	7						
[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	654	654	311	598	416	641	647	647	5	778	810	5	3			2	7						
[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			5	881	880	5	4			2	7						
[Thiªn Tø] KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	763	763	758	758	88	419	792	792	5	902	910	5	5			2	7						
[Thiªn Tø] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6	766	767	6	1			2	7						
[Thiªn Tø] Ngù Long ChiÕn ThÇn Phi Qu¸i Gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	0	99999	10	0																						36	120	39	1									2	616	438	88	79	311	107	107	681	681	711	687	6	849	856	6	2			2	7						
[Thiªn Tø] Ngù Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	655	655	311	598	416	641	647	647	6	780	812	6	3			2	7						
[Thiªn Tø] Ngù Long TÊn Phong Hé YÓn	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2	616	311	598	319	678	327	327	423	642	793	793	6	903	912	6	4			2	7						
[Thiªn Tø] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	1									129	129	130	130	747	739	748	740	741	749			6	883	882	6	5			2	7						
[Thiªn Tø] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Trang bÞ B¹ch Kim	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	461	461	7	766	767	7	1			2	7						
[Thiªn Tø] V« Gian Thanh Phong NhuyÔn Lý	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719	4	320	588	718	8	313	597	811	811	794	794	7	901	918	7	2			2	7						
[Thiªn Tø] V« Gian PhËt V©n Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	4							418	4	309	639	656	656	307	637	6	609	425	643	7	786	818	7	3			2	7						
[Thiªn Tø] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	4							2	616	329	329	439	682	307	637	6	609	683	683	7	846	862	7	4			2	7						
[Thiªn Tø] V« Gian B¹ch Ngäc Bµn ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			7	879	878	7	5			2	7						
[Thiªn Tø] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							2	616	307	637	420	640	309	639	6	609	427	628	8	787	819	8	1			2	7						
[Thiªn Tø] V« Ma Thu Thñy L­u Quang §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2	616	312	596	718	8	309	639	812	812	427	628	8	902	919	8	2			2	7						
[Thiªn Tø] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	4	99999	10	0	31	80	80																			36	120	39	4									129	129	130	130	747	739	748	740	743	751			8	881	880	8	3			2	7						
[Thiªn Tø] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	498	498	499	499	8	769	801	8	4			2	7						
[Thiªn Tø] V« Ma Hång Truy NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							146	717	320	588	684	684	88	419	8	612	330	330	8	848	863	8	5			2	7						
[Thiªn Tø] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9							2	7						
[Thiªn Tø] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9							2	7						
[Thiªn Tø] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			9	883	882					2	7						
[Thiªn Tø] V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	4									2	616	88	419	718	8	420	640	813	813	795	795	9							2	7						
[Thiªn Tø] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9							2	7						
[Thiªn Tø] Tª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	462	462	10	766	767	9	1			2	7						
[Thiªn Tø] Tª Hoµng TuÖ T©m Khinh Sa Y	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	5									759	784	88	419	39	39	423	642	814	814	796	796	10	901	920	9	2			2	7						
[Thiªn Tø] Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	5							2	616	309	639	657	657	307	637	6	609	773	689	10	788	820	9	3			2	7						
[Thiªn Tø] Tª Hoµng B¨ng Tung CÈm Uyªn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	5							2	616	333	333	439	682	307	637	6	609	688	688	10	846	864	9	4			2	7						
[Thiªn Tø] Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			10	879	878	9	5			2	7						
[Thiªn Tø] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	465	465	148	633	8	612	462	462	11	770	802	10	1			2	7						
[Thiªn Tø] BÝch H¶i Hoµn Ch©u Vò Liªn	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719	4	88	419	718	8	420	640	815	815	797	797	11	902	921	10	2			2	7						
[Thiªn Tø] BÝch H¶i Hång Linh Kim Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	5							2	616	309	639	658	658	419	638	421	8	422	422	11	789	821	10	3			2	7						
[Thiªn Tø] BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ B¹ch Kim	0	99999	10	0	31	60	60																			36	120	39	5									146	632	296	689	418	4	39	39	322	313	690	690	11	848	865	10	4			2	7						
[Thiªn Tø] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			11	881	880	10	5			2	7						
[Thiªn Tø] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	616	302	302	691	691	143	692	6	609	693	693	12	846	861	11	1			2	7						
[Thiªn Tø] U Lung XÝch YÕt MËt Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616	759	771	831	306	695	423	642	311	598	334	334	12	901	917	11	2			2	7						
[Thiªn Tø] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ B¹ch Kim	0	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	616	309	639	659	659	307	637	6	609	423	642	12	785	817	11	3			2	7						
[Thiªn Tø] U Lung Ng©n ThiÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	4	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130	747	739	748	740	742	750			12	879	878	11	4			2	7						
[Thiªn Tø] U Lung MÆc Thï NhuyÔn Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	508	508	12	771	803	11	5			2	7						
[Thiªn Tø] Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	772	75	626	13	766	767	12	1			2	7						
[Thiªn Tø] Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	3							418	694	336	336	306	695	307	637	6	609	417	31	13	848	860	12	2			2	7						
[Thiªn Tø] Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	4	99999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			13	881	880	12	3			2	7						
[Thiªn Tø] Minh ¶o Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	3							2	616	309	639	660	660	307	637	645	645	425	643	13	784	816	12	4			2	7						
[Thiªn Tø] Minh ¶o Song Hoµn Xµ Hµi	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616	759	312	596	718	8	416	830	816	816	798	798	13	902	916	12	5			2	7						
[Thiªn Tø] Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14							2	7						
[Thiªn Tø] Chó Ph­îc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	3	99999	10	0																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14							2	7						
