HEADER	MAGIC_DESC	加伤害强化	加命中率	加攻击速度	忽略对手防御	永不磨损	加防御强化	加快跑步速度	反弹物理攻击	快速打击回复	加黑暗处视野范围	加技能	加四防	偷血	偷内力	加生命最大值上限	加内力上限	加体力上限	加生命恢复速度	加内力恢复速度	加体力恢复速度	加力量	加物理伤害	加毒伤害	加冰伤害	加火伤害	加电伤害	物理伤害吸收（转化为内力提高）	物免百分比	加抗毒性	加抗冰性	加抗火性	加抗电性	加体质	免疫眩晕状态	加运气	降低冰冻时间	加敏捷	降低中毒时间	加金系技能	加水系技能	加木系技能	加火系技能	加土系技能	加金系技能伤害	加水系技能伤害	加火系技能伤害	加土系技能伤害	加木系技能伤害
加物理伤害	121																						100	100	100	100	100	100	100	120	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加毒伤害	125																							100	100	100	100	100	100	100	100	100	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加冰伤害	123																								100	100	100	100	100	100	100	120	100	102	105	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加火伤害	122																									100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加电伤害	124																										100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
物理伤害吸收（转化为内力提高）	134																											100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
物免百分比	104																												100	100	100	100	100	100	100	100	150	102	100	100	100	100	100	100	100	100	100	100	100
加抗毒性	101																													100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	105	100	100	100	100
加抗冰性	105																														100	100	100	100	100	100	100	100	105	100	100	100	100	100	100	100	100	105	100
加抗火性	102																															100	100	100	200	100	100	100	100	100	100	100	100	100	100	105	100	100	100
加抗电性	103																																100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	105
加体质	99																																	100	100	100	100	100	100	100	100	100	100	100	100	102	100	100	100
免疫眩晕状态	110																																		100	100	100	100	100	100	100	100	100	100	100	105	100	100	100
加运气	135																																			100	100	100	100	100	100	100	100	100	100	100	100	100	100
降低冰冻时间	106																																				100	100	100	100	100	100	100	100	100	100	110	100	100
加敏捷	98																																					100	100	100	100	100	100	100	100	100	100	100	100
降低中毒时间	108																																						100	100	100	100	100	100	100	100	100	120	100
加金系技能	140																																							100	100	100	100	100	100	100	100	100	100
加水系技能	142																																								100	100	100	100	100	100	100	100	100
加木系技能	141																																									100	100	100	100	100	100	100	100
加火系技能	143																																										100	100	100	100	100	100	100
加土系技能	144																																											100	100	100	100	100	100
加金系技能伤害	168																																												100	100	100	100	100
加水系技能伤害	169																																													100	100	100	100
加火系技能伤害	170																																														100	100	100
加土系技能伤害	171																																															100	100
加木系技能伤害	172																																																100
