NAME	GENRE	INDEX	VALUE
魔嗜之血玉七杀佩	0	114	1140000
魔嗜之山海飞鸿履	0	115	500000000
凌岳之太极冠	0	116	1160000
凌岳之无我道袍	0	117	1170000
凌岳之怒雷束腰	0	118	1180000
凌岳之无极玄玉佩	0	119	800000000
凌岳之天地玄黄戒	0	120	1200000
及丰之真武剑	0	121	8000000000
及丰之三清符	0	122	1000000000
及丰之玄丝三段锦	0	123	1230000
及丰之翠玉玄黄佩	0	124	1240000
及丰之青松法戒	0	125	1250000
霜晶之千年寒铁	0	126	1200000000
霜晶之傲霜道袍	0	127	1270000
霜晶之清风缕带	0	128	1280000
霜晶之天清冰晶手	0	129	1290000
霜晶之风暴指环	0	130	1300000
雷穹之寒松冰柏冠	0	131	1310000
雷穹之天地护符	0	132	700000000
雷穹之风雷青锦带	0	133	1330000
雷穹之灵玉蕴雷	0	134	1340000
雷穹之九天引雷戒	0	135	1350000
雾幻之北冥道冠	0	136	400000000
雾幻之羁绊符咒	0	137	1370000
雾幻之束心指环	0	138	1380000
雾幻之清影玄玉佩	0	139	1390000
雾幻之松风雪影靴	0	140	1400000
雅典之魂	0	141	1410000
北京之梦	0	142	1420000
洞察之白金雕龙戒	0	143	1430000
洞察之白玉乾坤佩	0	144	800000000
洞察之白金锈凤戒	0	145	1500000000
洞察之翡翠玉项圈	0	146	1500000000
定业头冠	0	147	1470000
定业战袍	0	148	1480000
定业腰带	0	149	1490000
定业护腕	0	150	1500000
定业战靴	0	151	1510000
定业扳指	0	152	1520000
定国头冠	0	153	1530000
定国战袍	0	154	1540000
定国腰箍	0	155	1550000
定国护腕	0	156	1560000
定国战靴	0	157	1570000
定国扳指	0	158	1580000
定国之青纱长衫	0	159	250000000
定国之钨砂发冠	0	160	350000000
定国之赤绢软靴	0	161	150000000
定国之紫藤护腕	0	162	200000000
定国之银蚕腰带	0	163	150000000
安邦之冰晶石项链	0	164	350000000
安邦之菊花石指环	0	165	250000000
安邦之田黄石玉佩	0	166	250000000
安邦之鸡血石戒指	0	167	250000000
天煌龙器之龙抬头	0	168	1680000
天煌龙器之白龙息	0	169	1690000
天煌龙器之镇冥之链	0	170	1700000
天煌龙器之九现之指	0	171	1710000
天煌龙器之玉逍遥	0	172	1720000
天煌龙器之黄金鳞	0	173	1730000
天煌龙器之磐龙瑰	0	174	1740000
天煌龙器之龙哭千里	0	175	1750000
天煌龙器之怒龙之瞳	0	176	1760000
金枫之青阳盔	0	177	1770000
金枫之麒麟血	0	178	1780000
金枫之濯之链光	0	179	1790000
金枫之公谨三叹	0	180	1800000
金枫之夺魂玉带	0	181	1810000
金枫之后羿引弓	0	182	1820000
金枫之兰亭玉	0	183	1830000
金枫之千里草上飞	0	184	1840000
金枫之铜雀春深	0	185	1850000
侠骨之铁血衫	0	186	1860000
侠骨之多情环	0	187	1870000
侠骨之丹心戒	0	188	1880000
侠骨之情意结	0	189	1890000
柔情之巾帼霓裳	0	190	1900000
柔情之淑女项链	0	191	1910000
柔情之凤仪戒指	0	192	1920000
柔情之慧心玉佩	0	193	1930000
