Name	Prop quality	Item ID	Type of props	specific category	Detail	Platinum level	Level	Magic attribute ID1	Param1	Magic 1 starting value 1	Magic 1 end value 1	Magic 1 is worth 1	Magic 1 starting value 2	Magic 1 end value 2	Magic 1 is worth 2	Magic 1 starting value 3	Magic 1 end value 3	Magic 1 is worth 3	Magic 1 starting value 4	Magic 1 end value 4	Magic 1 is worth 4	Magic 1 starting value 5	Magic 1 end value 5	Magic 1 is worth 5	Magic attribute ID2	Param2	Magic 2 starting value 1	Magic 2 end value 1	Magic 2 is worth 1	Magic 2 starting value 2	Magic 2 end value 2	Magic 2 is worth 2	Magic 2 starting value 3	Magic 2 end value 3	Magic 2 is worth 3	Magic 2 starting value 4	Magic 2 end value 4	Magic 2 is worth 4	Magic 2 starting value 5	Magic 2 end value 5	Magic 2 is worth 5	Magic attribute ID3	Param3	Magic 3 starting value 1	Magic 3 end value 1	Magic 3 is worth 1	Magic 3 starting value 2	Magic 3 end value 2	Magic 3 is worth 2	Magic 3 starting value 3	Magic 3 end value 3	Magic 3 is worth 3	Magic 3 starting value 4	Magic 3 end value 4	Magic 3 is worth 4	Magic 3 starting value 5	Magic 3 end value 5	Magic 3 is worth 5	Magic attribute ID4	Param4	Magic 4 starting value 1	Magic 4 end value 1	Magic 4 is worth 1	Magic 4 starting value 2	Magic 4 end value 2	Magic 4 is worth 2	Magic 4 starting value 3	Magic 43 end value 3	Magic 4 is worth 3	Magic 4 starting value 4	Magic 4 end value 4	Magic 4 is worth 4	Magic 4 starting value 5	Magic 4 end value 5	Magic 4 is worth 5	Tinh hån th¹ch	Tµi phó
Tø Kh«ng Gi¸ng Ma Giíi ®ao	1	11	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	37	30	34	73	35	39	110	40	40	183	139	273	1	1	0	2	2	73	3	3	147	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	37	60	60	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13462	13462
Tø Kh«ng Tö Kim Cµ Sa	1	12	-1	-1	-1	-1	10	111	-1	50	59	-35	40	49	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Tø Kh«ng Hé ph¸p Yªu ®¸i	1	13	-1	-1	-1	-1	10	139	10	1	1	0	2	2	10	3	3	19	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	29	5	30	30	14	-1	-1	-1	-1	-1	-1	106	-1	40	49	0	50	50	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38462	38462
Tø Kh«ng NhuyÔn B× Hé UyÓn	1	14	-1	-1	-1	-1	10	139	321	1	1	0	2	2	512	3	3	1281	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	256	29	29	512	30	30	1025	-1	-1	-1	139	19	1	1	0	2	2	256	3	3	769	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2307692	2307692
Tø Kh«ng Giíi LuËt Ph¸p giíi	1	15	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	1	16	-1	-1	-1	-1	10	58	-1	1	1	0	2	2	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	30	37	0	38	43	25	44	49	50	50	50	100	-1	-1	-1	123	-1	80	99	0	100	119	25	120	120	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19231	19231
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	1	17	-1	-1	-1	-1	10	113	-1	0	50	-70	53	58	-50	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	325	1	2	-100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	51	52	-67	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	145.159.028	145.159.028
H¸m Thiªn Uy Vò Thóc yªu ®¸i	1	18	-1	-1	-1	-1	10	102	-1	28	29	0	30	30	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11760	11760
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	1	19	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
H¸m Thiªn Thõa Long ChiÕn Ngoa	1	20	-1	-1	-1	-1	10	111	-1	40	44	0	45	49	54	50	54	108	55	59	163	60	60	271	139	31	1	1	0	2	2	108	3	3	217	-1	-1	-1	-1	-1	-1	103	-1	30	31	0	32	34	54	35	35	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9615	9615
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	1	21	-1	-1	-1	-1	10	123	-1	80	89	0	90	99	177	100	109	354	110	119	531	120	120	884	121	-1	30	37	0	38	43	177	44	49	354	50	50	707	-1	-1	-1	126	-1	50	74	0	75	99	177	100	100	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3846	3846
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	1	22	-1	-1	-1	-1	10	113	-1	40	44	0	45	49	75	50	54	150	55	59	225	60	60	375	139	23	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	75	25	25	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.364.771	6.364.771
KÕ NghiÖp B¹ch Hæ V« Song khÊu	1	23	-1	-1	-1	-1	10	139	30	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	139	36	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	112	50	50	336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9615	9615
KÕ NghiÖp HáaV©n Kú L©n Thñ 	1	24	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	1	25	-1	-1	-1	-1	10	111	-1	50	59	-50	0	49	-60	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	323	1	2	-100	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	220	-1	0	49	-7	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Ngù Long L­îng Ng©n B¶o ®ao	1	26	-1	-1	-1	-1	10	123	-1	80	93	0	94	106	112	107	119	225	120	120	449	-1	-1	-1	121	-1	30	39	0	40	49	112	50	50	337	-1	-1	-1	-1	-1	-1	126	-1	50	90	0	91	100	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	1	27	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	8	20	21	17	22	23	25	24	24	42	139	40	1	1	0	2	2	17	3	3	33	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	8	25	25	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.616.728	7.616.728
Ngù Long Thiªn M«n Thóc Yªu hoµn	1	28	-1	-1	-1	-1	10	139	36	1	1	0	2	2	202	3	3	404	-1	-1	-1	-1	-1	-1	139	34	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	43	0	44	46	101	47	49	202	50	50	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
Ngù Long TÊn Phong Hé yÓn	1	29	-1	-1	-1	-1	10	139	322	1	2	-75	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Ngù Long TuyÖt MÖnh ChØ hoµn	1	30	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
V« Gian û Thiªn KiÕm	1	31	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	252	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	177	60	60	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19231	19231
V« Gian Thanh Phong Truy Y	1	32	-1	-1	-1	-1	10	111	-1	54	59	-20	0	53	-33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
V« Gian PhÊt V©n Ti ®¸i	1	33	-1	-1	-1	-1	10	139	85	1	1	0	2	2	25	3	3	63	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	28	13	29	29	25	30	30	50	-1	-1	-1	106	-1	30	39	0	40	49	13	50	50	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26923	26923
V« Gian CÇm VËn Hé UyÓn	1	34	-1	-1	-1	-1	10	139	328	1	1	0	2	2	317	3	3	792	-1	-1	-1	-1	-1	-1	139	385	1	1	0	2	2	317	3	3	633	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	158	30	30	475	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1750000	1750000
V« Gian B¹ch Ngäc Bµn ChØ 	1	35	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68600	68600
V« Ma Ma Ni qu¸n	1	36	-1	-1	-1	-1	10	104	-1	25	26	0	27	28	123	29	29	247	30	30	493	-1	-1	-1	169	-1	80	99	0	100	119	123	120	120	370	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	123	50	50	370	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1538462	1538462
V« Ma Tö Kh©m Cµ Sa	1	37	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	169	-1	110	119	1	120	120	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	0	49	-16	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
V« Ma B¨ng Tinh ChØ Hoµn	1	38	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68600	68600
V« Ma TÈy T­îng Ngäc KhÊu 	1	39	-1	-1	-1	-1	10	116	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	79	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	139	91	1	1	0	2	2	177	3	3	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15385	15385
V« Ma Hång Truy NhuyÔn Th¸p hµi	1	40	-1	-1	-1	-1	10	139	380	1	1	0	2	2	150	3	3	375	-1	-1	-1	-1	-1	-1	139	82	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	111	-1	40	49	0	50	59	75	60	60	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15385	15385
V« TrÇn Ngäc N÷ Tè T©m qu¸n	1	41	-1	-1	-1	-1	10	139	86	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	105	-1	25	27	0	28	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.652.985	3.652.985
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	1	42	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	25	20	21	50	22	23	75	24	24	125	139	89	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	103	-1	25	26	0	27	29	25	30	30	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
V« TrÇn Tõ Bi Ngäc Ban ChØ 	1	43	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	1	44	-1	-1	-1	-1	10	103	-1	0	29	-14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	282	2	2	-40	1	1	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	92	1	2	-14	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
V« TrÇn PhËt Quang ChØ Hoµn	1	45	-1	-1	-1	-1	10	103	-1	33	34	0	35	35	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.213.621	5.213.621
Tª Hoµng Phông Nghi ®ao	1	46	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	56	30	34	113	35	39	169	40	40	282	139	114	1	1	0	2	2	113	3	3	226	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	56	60	60	169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3077	3077
Tª Hoµng TuÖ T©m Khinh Sa Y	1	47	-1	-1	-1	-1	10	113	-1	45	49	-8	0	44	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	-1	0	29	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	0	49	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	1	48	-1	-1	-1	-1	10	139	99	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7692	7692
Tª Hoµng B¨ng Tung CÈm uyÓn	1	49	-1	-1	-1	-1	10	139	336	1	1	0	2	2	131	3	3	329	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	66	30	30	197	-1	-1	-1	-1	-1	-1	139	95	1	1	0	2	2	131	3	3	263	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
Tª Hoµng Thóy Ngäc ChØ Hoµn	1	50	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	1	51	-1	-1	-1	-1	10	116	-1	20	24	0	25	29	269	30	34	539	35	39	808	40	40	1347	139	97	1	1	0	2	2	539	3	3	1078	-1	-1	-1	-1	-1	-1	139	114	1	1	0	2	2	269	3	3	808	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2692	2692
BÝch H¶i Hoµn Ch©u Vò Liªn	1	52	-1	-1	-1	-1	10	103	-1	0	29	-25	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
BÝch H¶i Hång Linh Kim Ti ®¸i	1	53	-1	-1	-1	-1	10	139	337	1	1	0	2	2	57	3	3	144	-1	-1	-1	-1	-1	-1	139	102	1	1	0	2	2	29	3	3	86	-1	-1	-1	-1	-1	-1	103	-1	30	30	0	31	32	29	33	34	57	35	35	115	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.397.878	2.397.878
