[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Lùc Ph¸ Qu©n Tinh(0,1,3505,0,5,10), unbind = 0, bind = 50
[Normal]Item: Vò §· Hµ(0,1,3879,0,5,10), unbind = 0, bind = 50
[Normal]Item: Thanh B×nh L¹c(0,1,3880,0,5,10), unbind = 0, bind = 50
[Normal]Item: Håi Xu©n(0,1,3881,0,5,10), unbind = 0, bind = 50
[Normal]Item: Kh« Méc(0,1,3882,0,5,10), unbind = 0, bind = 50
[Normal]Item: L­u V©n (0,1,3883,0,5,10), unbind = 0, bind = 50
[Normal]Item: Nª Tr¹ch(0,1,3884,0,5,10), unbind = 0, bind = 50
[Normal]Item: L«i Háa KiÕp(0,1,3885,0,5,10), unbind = 0, bind = 50
[Normal]Item: Mª Tóy Thiªn H­¬ng(0,1,3886,0,5,10), unbind = 0, bind = 50
[Normal]Item: §iÖp Vò Hoa Phi(0,1,3887,0,5,10), unbind = 0, bind = 50
[Normal]Item: Tr­êng sinh(0,1,3541,0,5,10), unbind = 0, bind = 50
[Normal]Item: Bét H¶i(0,1,3542,0,5,10), unbind = 0, bind = 50
[Normal]Item: Vò Uy(0,1,3543,0,5,10), unbind = 0, bind = 50
[Normal]Item: Nh­îc Thñy(0,1,3544,0,5,10), unbind = 0, bind = 50
[Normal]Item: TrÊn Nh¹c(0,1,3545,0,5,10), unbind = 0, bind = 50
[Normal]Item: Yªn Ba(0,1,3546,0,5,10), unbind = 0, bind = 50
[Normal]Item: ThÇn TuÖ(0,1,3547,0,5,10), unbind = 0, bind = 50
[Normal]Item: Truy Anh (0,1,3548,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long §¶m(0,1,3549,0,5,10), unbind = 0, bind = 50
[Normal]Item: L­u Huúnh(0,1,3550,0,5,10), unbind = 0, bind = 50
[Normal]Item: Cuång Lan(0,1,3551,0,5,10), unbind = 0, bind = 50
[Normal]Item: DiÖu Gi¶i TrÇn Duyªn(0,1,3552,0,5,10), unbind = 0, bind = 50
[Normal]Item: Lùc Ph¸ Qu©n Tinh(0,1,3553,0,5,10), unbind = 0, bind = 50
[Normal]Item: Tr­êng sinh(0,1,3490,0,5,10), unbind = 0, bind = 50
[Normal]Item: Bét H¶i(0,1,3491,0,5,10), unbind = 0, bind = 50
[Normal]Item: Vò Uy(0,1,3492,0,5,10), unbind = 0, bind = 50
[Normal]Item: Nh­îc Thñy(0,1,3493,0,5,10), unbind = 0, bind = 50
[Normal]Item: TrÊn Nh¹c(0,1,3494,0,5,10), unbind = 0, bind = 50
[Normal]Item: Yªn Ba(0,1,3495,0,5,10), unbind = 0, bind = 50
[Normal]Item: ThÇn TuÖ(0,1,3496,0,5,10), unbind = 0, bind = 50
[Normal]Item: Truy Anh (0,1,3497,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long §¶m(0,1,3498,0,5,10), unbind = 0, bind = 50
[Normal]Item: L­u Huúnh(0,1,3499,0,5,10), unbind = 0, bind = 50
[Normal]Item: Cuång Lan(0,1,3500,0,5,10), unbind = 0, bind = 50
[Normal]Item: Thóy Ngäc B¨ng HuyÒn(0,1,3501,0,5,10), unbind = 0, bind = 50
[Normal]Item: Hång Anh(0,1,3502,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ng­ng TuyÕt Hµn S­¬ng(0,1,3503,0,5,10), unbind = 0, bind = 50
[Normal]Item: DiÖu Gi¶i TrÇn Duyªn(0,1,3504,0,5,10), unbind = 0, bind = 50
[Normal]Item: Lùc Ph¸ Qu©n Tinh(0,1,3505,0,5,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh TrÇm Viªn V·n Tóy(0,1,433,1,1,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh KiÕm Qua T©y Ph­¬ng(0,1,434,0,2,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh Môc Tóc T­¬ng Vong(0,1,435,0,4,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh Hång Tô Chiªu(0,1,436,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Cuång Lan(0,1,4487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Tr­êng sinh(0,1,3541,0,5,10), unbind = 0, bind = 50
[Normal]Item: Bét H¶i(0,1,3542,0,5,10), unbind = 0, bind = 50
[Normal]Item: Vò Uy(0,1,3543,0,5,10), unbind = 0, bind = 50
[Normal]Item: Nh­îc Thñy(0,1,3544,0,5,10), unbind = 0, bind = 50
[Normal]Item: TrÊn Nh¹c(0,1,3545,0,5,10), unbind = 0, bind = 50
[N
