[Normal]Item: Anh Hµo Kim Cang H¹ng Liªn(0,1,8496,1,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Thóc Yªu(0,1,8540,0,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Hé UyÓn(0,1,8539,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Th­îng Giíi(0,1,8538,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Ph¸t §íi(0,1,8537,10,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Ch©u Liªn(0,1,8536,0,4,10), unbind = 0, bind = 60000
[Enchasable]Item: (0,2,1,2,0,10),¼Ó¹¥»÷ËÙ¶È=(30,0),¼ÓÎïÀíÉËº¦=(46,0),¼ÓÉËº¦Ç¿»¯=(91,0),¼Ó¿¹¶¾ÐÔ=(25,0),ÍµÄÚÁ¦=(10,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: An Bang Kª HuyÕt Th¹ch Giíi ChØ (0,1,166,0,3,8), unbind = 0, bind = 50
[Normal]Item: An Bang §iÒn Hoµng Th¹ch Ngäc Béi(0,1,165,1,1,8), unbind = 0, bind = 50
[Normal]Item: An Bang Cóc Hoa Th¹ch ChØ hoµn(0,1,164,0,2,8), unbind = 0, bind = 50
[Normal]Item: An Bang B¨ng Tinh Th¹ch H¹ng Liªn(0,1,163,0,4,10), unbind = 0, bind = 50
[Normal]Item: §Þnh Quèc Ng©n Tµm Yªu ®¸i(0,1,162,1,4,8), unbind = 0, bind = 50
[Normal]Item: §Þnh Quèc Tö §»ng Hé uyÓn(0,1,161,1,3,8), unbind = 0, bind = 50
[Normal]Item: §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa(0,1,160,1,1,8), unbind = 0, bind = 50
[Normal]Item: §Þnh Quèc ¤ Sa Ph¸t Qu¸n(0,1,159,3,2,9), unbind = 0, bi
