[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Normal]Item: H¹ng liªn Cæ Th¸p - Kh¸ng Hoµnh(0,1,5361,0,4,1), unbind = 0, bind = 50
[Normal]Item: Trang søc Cæ Th¸p - Kh¸ng Hoµnh(0,1,5362,1,3,1), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,1,4128,1,3,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,1,4132,1,0,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,1,4440,1,3,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,1,4444,1,0,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,1,4448,1,3,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,1,4452,1,0,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,1,4456,1,3,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,1,4460,1,0,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,1,4464,1,3,10), unbind = 0, bind = 50
[Normal]Item: Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,1,4468,1,0,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,1,493,0,3,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,1,494,1,4,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,1,495,0,0,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,1,496,1,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: Th­¬ng Khung Thiªn Khëi Kh«i(0,1,5197,0,2,10), unbind = 0, bind = 50
[Normal]Item: Th­¬ng Khung Thiªn Khëi Gi¸p(0,1,5198,0,0,10), unbind = 0, bind = 50
[Normal]Item: Th­¬ng Khung Thiªn Khëi L÷(0,1,5199,0,1,10), unbind = 0, bind = 50
[Normal]Item: Th­¬ng Khung Thiªn Khëi Tô(0,1,5200,0,3,10), unbind = 0, bind = 50
[Normal]Item: Th­¬ng Khung Thiªn Khëi §¸i(0,1,5201,0,4,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lı(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Enchasable]Item: (0,2,0,3,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼ÓÉËº¦Ç¿»¯=(94,0),¼ÓÎïÀíÉËº¦=(49,0),¼Ó¼¼ÄÜ=(2,0),ºöÂÔ¶ÔÊÖ·ÀÓù=(1,0), unbind = 0, bind = 0
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,2,9,0,10),¿ìËÙ´ò»÷»Ø¸´=(40,0),¼Ó¿¹¶¾ĞÔ=(25,0),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(190,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0),¼ÓÄÚÁ¦ÉÏÏŞ=(171,0),ÓÀ²»Ä¥Ëğ=(1,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,8,2,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(198,0),¼Ó¿¹»ğĞÔ=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(164,0),ÃâÒßÑ£ÔÎ×´Ì¬=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),¼ÓÌåÖÊ=(19,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,6,0,4,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(194,0),¼Ó¿¹±ùĞÔ=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(160,0),½µµÍÖĞ¶¾Ê±¼ä=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,5,3,1,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(197,0),¼Ó¿¹µçĞÔ=(30,0),¼ÓÄÚÁ¦ÉÏÏŞ=(177,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0),¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È=(40,0),ÓÀ²»Ä¥Ëğ=(1,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,8,0,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(198,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(162,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),¼ÓÃô½İ=(19,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,8,0,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(198,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(162,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),¼ÓÃô½İ=(19,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,5,3,1,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(197,0),¼Ó¿¹µçĞÔ=(30,0),¼ÓÄÚÁ¦ÉÏÏŞ=(177,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0),¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È=(40,0),ÓÀ²»Ä¥Ëğ=(1,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,6,0,4,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(194,0),¼Ó¿¹±ùĞÔ=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(160,0),½µµÍÖĞ¶¾Ê±¼ä=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,8,2,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(198,0),¼Ó¿¹»ğĞÔ=(25,0),¼ÓÄÚÁ¦ÉÏÏŞ=(164,0),ÃâÒßÑ£ÔÎ×´Ì¬=(40,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0),¼ÓÌåÖÊ=(19,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,2,9,0,10),¿ìËÙ´ò»÷»Ø¸´=(40,0),¼Ó¿¹¶¾ĞÔ=(25,0),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(190,0),ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©=(10,0),¼ÓÄÚÁ¦ÉÏÏŞ=(171,0),ÓÀ²»Ä¥Ëğ=(1,0), unbind = 0, bind = 0
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,3,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼ÓÉËº¦Ç¿»¯=(94,0),¼ÓÎïÀíÉËº¦=(49,0),¼Ó¼¼ÄÜ=(2,0),ºöÂÔ¶ÔÊÖ·ÀÓù=(1,0), unbind = 0, bind = 0
[Normal]Item: L¨ng V©n Tr¸ng Chİ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n H¹ng Liªn(0,1,5218,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Th­îng Giíi(0,1,5220,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Béi(0,1,5225,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n H¹ Giíi(0,1,5226,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lı(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng Chİ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n H¹ng Liªn(0,1,5218,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Th­îng Giíi(0,1,5220,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Béi(0,1,5225,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n H¹ Giíi(0,1,5226,0,1,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3484,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3485,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3486,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3481,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3482,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh
