MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kho¶ Lang ®éng
78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 T­¬ng D­¬ng
80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 D­¬ng Ch©u
81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vâ §ang ph¸i
84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tö Tiªu ®¹i ®iÖn
85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThËp Ph­¬ng ®iÖn
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phô MÉu ®iÖn
87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Hæ ®iÖn
99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	VÜnh L¹c trÊn
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chu Tiªn trÊn
101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹o H­¬ng th«n
103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m ph¸i
104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tµng Kinh C¸c
105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹t Ma §­êng
106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹i Hïng b¶o ®iÖn
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m §Ö tö phßng
108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m §Ö tö phßng
109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ph­¬ng tr­îng ThiÒn phßng
110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	La H¸n §­êng
111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Méc Nh©n H¹ng
112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn PhËt ®iÖn
113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	MËt thÊt ThiÕu L©m
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108 La H¸n trËn
115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C¸i Bang
121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long M«n trÊn
131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C«n L«n ph¸i
137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn Vi ®iÖn
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh ®iÖn
139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tö Vi ®iÖn
153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¹ch Cæ trÊn
154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thóy Yªn m«n
155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¸ch Hoa ®×nh
156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	phßng §Ö tö
157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	phßng §Ö tö
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thñ Ngäc s¶nh
161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thóy Yªn LÇu
162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 §¹i Lý phñ 
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long TuyÒn th«n
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T©y S¬n th«n
176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 L©m An
228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HËu s¬n C«n L«n
229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÕ Tæ ®×nh (chiÕn ®Êu) 
230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trong thµnh §¹i Lý (chiÕn ®Êu) 
231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë Th­¬ng L­¬ng kh¸ch
232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë Chu V©n TuyÒn
233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë M¹c Kh«ng NguyÖt
323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm b¸o danh Tèng Kim (s¬ cÊp) 
324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm b¸o danh Tèng Kim (trung cÊp) 
325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm b¸o danh Tèng Kim (cao cÊp) 
333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoa S¬n ph¸i
520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (Ph­îng T­êng) 
521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (Thµnh §«) 
522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (BiÖn Kinh) 
523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (T­¬ng D­¬ng) 
524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (D­¬ng Ch©u) 
525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (§¹i Lý) 
526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (L©m An) 
959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChiÕn Long §éng
987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoa S¬n ph¸i
996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B·i LuyÖn C«ng
1042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vò hån
1046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiªu Dao Ph¸i
