EqName	µ¶¶ÜÕ¾Á¢1	¶Üµ¶Õ¾Á¢1	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	µ¶¶ÜÎäÆ÷Õ¾Á¢	¶Üµ¶ÎäÆ÷Õ¾Á¢	ÇÙÕ½¶·Õ¾Á¢	ÇÙ·ÇÕ½¶·Õ¾Á¢	¿ÕÊÖ×ßÂ·	ÆÕÍ¨×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	µ¶¶ÜÎäÆ÷×ßÂ·	¶Üµ¶ÎäÆ÷×ßÂ·	ÇÙ×ßÂ·	¿ÕÊÖÅÜ²½	ÆÕÍ¨ÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	µ¶¶ÜÎäÆ÷ÅÜ²½	¶Üµ¶ÎäÆ÷ÅÜ²½	ÇÙÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	µ¶¶ÜÎäÆ÷ÊÜÉË	¶Üµ¶ÎäÆ÷ÊÜÉË	ÇÙÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	µ¶¶ÜÎäÆ÷ËÀÍö	¶Üµ¶ÎäÆ÷ËÀÍö	ÇÙÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	µ¶¶ÜÎäÆ÷»®	µ¶¶ÜÎäÆ÷¿³	¶Üµ¶ÎäÆ÷»®	¶Üµ¶ÎäÆ÷¿³	ÇÙÎäÆ÷¹¥»÷1	ÇÙÎäÆ÷¹¥»÷2	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	µ¶¶ÜÎäÆ÷Ä§·¨	¶Üµ¶ÎäÆ÷Ä§·¨	ÇÙÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Kinh HuyÒn SÊm																																																																											
§éc Vò Thiªn H¹																																																																											
Ng¹o Ng« Hiªn Viªn																																																																											
Nô H«n H¾c ¸m																																																																											
Ngän Löa ¸nh S¸ng																																																																											
Viªm D­¬ng Long Tö																																																																											
L¹c Th¸i Li VÉn																																																																											
T¸i Th¸i TuÕ																																																																											
×ÇÎä°ÁÌì																																																																											
Kh«ng cã res horse72																																																																											
³°·çÓùÉù																																																																											
¾ÅÈð																																																																											
ÈüÌ«Ëê																																																																											
¾ÅÈð																																																																											
Ä°ÉÏº®ÑÌ																																																																											
ÒÀÒÀ¶ÔÓ°																																																																											
Ó¥·É																																																																											
À¶ôá																																																																											
ÑÌ»ª																																																																											
¹Âºè																																																																											
ÐÇÒ«																																																																											
³àÑÒÁéÊÞ																																																																											
Ñ©ÁéÚÐÌý																																																																											
É¬»áÖí																																																																											
ºÉÒ¶Ð¡Öí																																																																											
ÖíÐ¡ºÚ																																																																											
ÉñÎäÐ¡Öí																																																																											
³àÑæâ³õô																																																																											
ÇàÔÆÁé×ð																																																																											
³àÑæâ³õô¡¤Áé																																																																											
ÇàÔÆÁé×ð¡¤»Ã																																																																											
ÒøÔÂÉñÙç																																																																											
Ñ©ºìÙç																																																																											
Ñ©Ä«Ùç																																																																											
ÒøÔÂÉñÙç¡¤Áé																																																																											
Ñ©ºìÙç¡¤Áé																																																																											
Ñ©Ä«Ùç¡¤Áé																																																																											
ÌßÔÆµÄÂ¬																																																																											
Ñ©³áÁ«Óð																																																																											
À¶ì½ÎÚæí																																																																											
È¸ôáÌ¤Ñ©																																																																											
Trïng Res horse117																																																																											
Thá Vµng																																																																											
Thá Hång																																																																											
