Status	file name	type	Play method	Start frame behind the protagonist	Ending frame behind the protagonist	Total animation frames	Total number of animation directions	animation frame interval	The picture is divided into several parts	"Note: The picture can only be divided into 1, 2, and 3 petals."
Status23	\spr\skill\ÌìÈÌ\mag_tr_08_ÎüĞÇ´ó·¨.spr	Head	Loop	0	0	15	1	3	1	ÎüĞÇ´ó·¨
Status24	\spr\skill\ÌìÈÌ\mag_tr_09_½èÁ¦´òÁ¦.spr	Head	Loop	0	0	15	1	3	1	½èÁ¦´òÁ¦
Status25	\spr\skill\ÌìÈÌ\mag_tr_10_Ê´¹ÇÑªØğ.spr	Head	Loop	0	0	15	1	30	1	Ê´¹ÇÑªØğ
Status26	\spr\skill\ÌìÈÌ\mag_tr_11_»ÃÓ°·Éºü.spr	Head	Loop	0	0	15	1	12	1	»ÃÓ°·Éºü
Status27	\spr\skill\ÌìÈÌ\mag_tr_12_·ÉºèÎŞ¼£.spr	Head	Loop	0	0	15	1	12	1	·ÉºèÎŞÒà
Status28	\spr\skill\ÌìÈÌ\mag_tr_13_À÷Ä§¶á»ê.spr	Head	Loop	0	0	15	1	12	1	À÷Ä§¶á»ê
Status29	\spr\skill\ÌìÈÌ\mag_tr_14_ÎåĞĞÕó.spr	Foot	Loop	0	0	15	1	18	1	ÎåĞĞÕó
Status30	\spr\skill\ÌìÈÌ\mag_tr_15_ÌìÄ§½âÌå.spr	Head	Loop	0	0	15	1	15	1	ÌìÄ§½âÌå
Status31	\spr\skill\´äÑÌ\mag_cy_06_Ñ©¶Ü.spr	Body	Loop	4	12	16	1	18	1	Ñ©¶Ü
Status32	\spr\skill\´äÑÌ\mag_cy_07_±ù¶Ü.spr	Body	Loop	4	12	16	1	18	1	±ù¶Ü
Status33	\spr\skill\´äÑÌ\mag_cy_09_Ñ©Ó°.spr	Body	Loop	16	16	16	1	15	1	Ñ©Ó°
Status34	\spr\skill\´äÑÌ\mag_cy_12_ÉãĞÄÊõ.spr	Head	Loop	0	0	18	1	6	1	ÉãĞÄÊõ
Status35	\spr\skill\ÌÆÃÅ\tm_01_¶¾¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	¶¾¸½¼Ó
Status36	\spr\skill\ÌÆÃÅ\tm_02_±ù¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	±ù¸½¼Ó
Status37	\spr\skill\¶ëáÒ\mag_em_06_Çï·çÒ¶.spr	Foot	Loop	0	0	16	1	16	1	Çï·çÒ¶
Status38	\spr\skill\¶ëáÒ\mag_em_07_×íÏÉÍûÔÂ.spr	Foot	Loop	0	0	16	1	16	1	×íÏÉÍûÔÂ
Status39	\spr\skill\¶ëáÒ\mag_em_08_Á÷Ë®.spr	Foot	Loop	0	0	16	1	16	1	Á÷Ë®
Status40	\spr\skill\¶ëáÒ\mag_em_09_ÃÎµû.spr	Foot	Loop	0	0	16	1	16	1	ÃÎµû
Status41	\spr\skill\¶ëáÒ\mag_em_10_·ğĞÄ´ÈÓÓ.spr	Foot	Loop	0	0	15	1	15	1	·ğĞÄ´ÈÓÓ
Status42	\spr\skill\¶ëáÒ\mag_em_11_·çÓêÆ®Ïã.spr	Head	Loop	0	0	4	1	6	1	·çÓêÆ®Ïã
Status43	\spr\skill\Ø¤°ï\mag_gb_11_×íµû¿ñÎè.spr	Body	Loop	4	12	16	1	19	1	×íµû¿ñÎè
Status44	\spr\skill\Ø¤°ï\mag_gb_12_´ò¹·Õó.spr	Foot	Loop	0	0	8	1	19	1	´ò¹·Õó
Status45	\spr\skill\ÉÙÁÖ\sl_07_ÂŞººÕó.spr	Foot	Loop	0	0	10	1	8	1	ÂŞººÕó
Status46	\spr\skill\ÌìÍõ\tw_01_»ğÑÛ½ğ¾¦.spr	Head	Loop	0	0	10	1	16	1	»ğÑÛ½ğ¾¦
Status47	\spr\skill\ÌìÍõ\tw_02_ÌìÍõÕ½Òâ.spr	Body	Loop	20	20	20	1	40	1	ÌìÍõÕ½Òâ
Status48	\spr\skill\ÌìÍõ\tw_03_Õ´ÒÂÊ®°Ëµø.spr	Body	Loop	5	15	20	1	40	1	Õ´ÒÂÊ®°Ëµø
Status49	\spr\skill\ÌìÍõ\tw_04_½ğÖÓÕÖ.spr	Body	Loop	5	15	20	1	20	1	½ğÖÓÕÖ
Status50	\spr\skill\²¹³ä\mag_spe_Ñ£ÔÎ.spr	Head	Loop	0	0	10	1	10	1	Ñ£ÔÎĞ§¹û
Status51	\spr\skill\²¹³ä\ĞÒÔËĞÇ.spr	Foot	Loop	0	0	15	1	15	1	ĞÒÔËĞÇ
Status52	\spr\skill\others\c.spr	Body	Loop	0	0	13	1	12	1	²»¶¯Ã÷Íõ
Status53	\spr\skill\sl\»ÛÑÛÖä.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status54	\spr\skill\wu\»¯ÏÕÎªÒÄ.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status55	\spr\skill\em\em_²¤ÂÜĞÄ¾­.spr	Body	Loop	0	0	20	1	12	1	ÇåÒôèó³ª
Status56	\spr\skill\em\ÇáÒôèó³ª.spr	Foot	Loop	0	0	20	1	12	1	3h
Status57	\spr\skill\gb\»¬²»ÁôÊÖ.spr	Body	Loop	0	0	15	1	12	1	»¬²»ÁôÊÖ
Status58	\spr\skill\tr\±¯ËÖÇå·ç.spr	Body	Loop	0	0	15	1	12	1	»¬²»ÁôÊÖ
Status59	\spr\skill\gb\´ò¹·Õó.spr	Foot	Loop	0	0	18	1	12	1	»¬²»ÁôÊÖ
Status60	\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	Body	Loop	0	0	8	1	8	1	»¬²»ÁôÊÖ
Status61	\spr\skill\À¥ÂØ\kl_15_ËêÔÂÎŞÇé·û.spr	Body	Loop	0	0	20	1	12	1	»¬²»ÁôÊÖ
Status62	\spr\skill\À¥ÂØ\kl_14_ÆúĞÄ·û.spr	Body	Loop	0	0	20	1	12	1	ÃÔ×Ù»ÃÓ°
Status63	\spr\skill\others\±¼Á÷µ½º£.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status64	\spr\skill\others\¹ÂÄ¾¶İÀ×.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status65	\spr\skill\others\½ğÎÚÓ³Ñ©.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status66	\spr\skill\others\¿üÄ¾ĞÇÕÕ.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶
Status67	\spr\skill\others\lucky.spr	Head	Loop	0	0	15	1	50	1	ĞÒÔË
Status68	\spr\skill\bm\Äàöú.spr	Body	Loop	0	0	15	1	50	1	Äàöú¹¦
Status69	\spr\skill\bm\¹êÃü.spr	Head	Loop	0	0	15	1	50	1	³¤Éú¹êÃü¾÷
Status70	\spr\skill\bm\Áéºü.spr	Head	Loop	0	0	15	1	50	1	Áéºü¿ªÉñÊõ
Status71	\spr\skill\bm\¼¦È®.spr	Foot	Loop	0	0	15	1	50	1	¼¦È®ÉıÌì
Status72	\spr\skill\gongcheng\1jia.spr	Foot	Loop	0	0	14	1	50	1	¹¥³ÇµÚÒ»Ãû
Status73	\spr\skill\zhongqiu\zq_sl_001.spr	Head	Loop	0	0	10	1	15	1	ÍÅÔ²±ı
Status74	\spr\skill\zhongqiu\zq_sl_002.spr	Head	Loop	0	0	10	1	15	1	¹ğ»¨¾Æ
Status75	\spr\skill\christmas\star1.spr	Head	Loop	0	0	10	1	100	1	½ÚÈÕµÆ
Status76	\spr\skill\christmas\star2.spr	Head	Loop	0	0	10	1	100	1	½ÚÈÕµÆ
Status77	\spr\skill\christmas\star2.spr	MiniMap	Loop	0	0	10	1	100	1	Ğ¡µØÍ¼¸ßÁÁÏÔÊ¾
Status78	\spr\skill\task\taskfinish.spr	Foot	Loop	0	0	27	1	50	1	ÈÎÎñÍê³É
Status79	\spr\skill\special\skill_heart.spr	Body	Loop	0	0	20	1	40	1	¼¼ÄÜ×´Ì¬
Status80	\spr\skill\²¹³ä\mag_spe_µÇÂ¼.spr	Foot	Loop	0	0	20	1	50	1	BossÉ±ÊÖÈÎÎñÍê³É
Status81	\spr\skill\others\title_yl.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·1
Status82	\spr\skill\others\title_bj.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·2
Status83	\spr\skill\others\title_zw.spr	Foot	Loop	0	0	11	1	30	1	ÎäÁÖ´ó»á¹â»·3
Status84	\spr\skill\others\title_dg.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·4
Status85	\spr\skill\others\title_ab.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·5
Status86	\spr\skill\kl\Ò»ÆøÈıÇå·û.spr	Head	Loop	0	0	15	1	30	1	ĞşÌìÎŞ¼«
Status87	\spr\skill\partner\Í¬°éÆÕ·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼
Status88	\spr\skill\partner\Í¬°é¶¾·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼
Status89	\spr\skill\partner\Í¬°é±ù·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼
Status90	\spr\skill\partner\Í¬°é»ğ·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼
Status91	\spr\skill\partner\Í¬°éÀ×·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼
Status92	\spr\skill\partner\Í¶Ê¯¶¾.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼
Status93	\spr\skill\partner\Í¶Ê¯±ù.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼
Status94	\spr\skill\partner\Í¶Ê¯»ğ.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼
Status95	\spr\skill\partner\ÇàÄ¾¹¦.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼
Status96	\spr\skill\partner\skill_bairenzhan.spr	Foot	Loop	0	0	15	1	30	1	°ÙÈËÕ¶
Status97	\spr\skill\partner\skill_qianrenzhan.spr	Body	Loop	0	0	20	1	40	1	Ç§ÈËÕ¶
Status98	\spr\skill\partner\skill_zhanshouzhe.spr	Head	Loop	0	0	15	1	30	1	Õ¶Ê×Õß
Status99	\spr\skill\partner\skill_zhanshouwang.spr	Body	Loop	0	0	20	1	40	1	Õ¶Ê×Íõ
Status100	\spr\skill\task\skill_mupai.spr	Foot	Loop	0	0	10	1	30	1	Ä¾ÅÆĞÅÊ¹
Status101	\spr\skill\task\skill_tongpai.spr	Foot	Loop	0	0	10	1	30	1	Í­ÅÆĞÅÊ¹
Status102	\spr\skill\task\skill_yinpai.spr	Foot	Loop	0	0	11	1	30	1	ÒøÅÆĞÅÊ¹
Status103	\spr\skill\task\skill_jinpai.spr	Foot	Loop	0	0	10	1	30	1	½ğÅÆĞÅÊ¹
Status104	\spr\skill\task\skill_yucijinpai.spr	Foot	Loop	0	0	10	1	30	1	Óù´Í½ğÅÆĞÅÊ¹
Status105	\spr\skill\task\randomtask.spr	Head	Loop	0	0	20	1	37	1	Ëæ»úÈÎÎñ×´Ì¬
Status106	\spr\skill\²¹³ä\mag_spe_Ñ£ÔÎ.spr	Head	Loop	0	0	10	1	10	1	Ê¥µ®Ñ£ÔÎ
Status107	\spr\skill\top_tong\bangzhu.spr	Foot	Loop	0	0	16	1	35	1	ÎäÁÖµÚÒ»°ï°ïÖ÷
Status108	\spr\skill\top_tong\bangzhong.spr	Foot	Loop	0	0	16	1	35	1	ÎäÁÖµÚÒ»°ï°ïÖÚ
Status109	\spr\skill\special\Õ¨µ¯ÈË±êÊ¾.spr	Head	Loop	0	0	18	1	50	1	Õ¨µ¯ÈË±êÊ¾
Status110	\spr\skill\tw\µ¹ĞéÌì.spr	Body	Loop	0	0	28	1	15	1	µ¹ĞéÌì_ÎŞÊÓ×çÖäÌØĞ§
Status111	\spr\skill\sl\´ó³ËÈçÀ´Öä.spr	Body	Loop	0	0	25	1	25	1	´ó³ËÈçÀ´Öä_·´µ¯×çÖäÌØĞ§
Status112	\spr\skill\others\²ÔÓ¬¹â»·.spr	Body	Loop	0	0	11	1	11	1	²ÔÓ¬¹â»·
Status113	\spr\skill\others\Ïã½¶¹â»·.spr	Foot	Loop	0	0	21	1	31	1	Ïã½¶¹â»·
Status114	\spr\skill\others\²ÔÓ¥¹â»·.spr	Body	Loop	0	0	21	1	63	1	²ÔÓ¥¹â»·
Status115	\spr\skill\others\»ğÑæ¹â»·.spr	Foot	Loop	0	0	13	1	18	1	»ğÑæ¹â»·
Status116	\spr\skill\others\°µÓ°¹â»·.spr	Foot	Loop	0	0	10	1	16	1	°µÓ°¹â»·
Status117	\spr\skill\others\Æß½£¹â»·.spr	Foot	Loop	0	0	20	1	34	1	Æß½£¹â»·
Status118	\spr\skill\wu\ÎüĞÇ÷Ê.spr	Body	Loop	0	0	25	1	20	1	ÎüĞÇ÷Ê
Status119	\spr\skill\em\±ÕÔÂ·÷³¾.spr	Foot	Loop	0	0	25	1	20	1	±ÕÔÂ·÷³¾
Status120	\spr\skill\gb\»ìÌìÆø¹¦.spr	Head	Loop	0	0	11	1	20	1	»ìÌìÆø¹¦
Status121	\spr\skill\tr\Ä§ÒôÊÉÆÇ.spr	Body	Loop	0	0	20	1	40	1	Ä§ÒôÊÉÆÇ
Status122	\spr\skill\wd\³öÓÙ²»È¾.spr	Body	Loop	0	0	27	1	35	1	³öÓÙ²»È¾
Status123	\spr\skill\kl\Á½ÒÇÕæÆø.spr	Body	Loop	0	0	23	1	20	1	Á½ÒÇÕæÆø
Status124	\spr\skill\others\Áé²ÎÁ¦.spr	Foot	Loop	0	0	17	1	20	1	Áé²ÎÁ¦
Status125	\spr\skill\others\totempole_phoenix.spr	Head	Loop	0	0	18	1	90	1	·ï»ËÓ¡
Status126	\spr\skill\others\totempole_fetch.spr	Head	Loop	0	0	25	1	50	1	¶ÍÎä»ê
Status127	\spr\skill\others\totempole_buymen.spr	Head	Loop	0	0	17	1	147	1	ÌÕÖìÇ®´ü
Status128	\spr\skill\others\totempole_children.spr	Head	Loop	0	0	18	1	50	1	ÊÌÎÀÓª
Status129	\spr\skill\others\totempole_pith.spr	Head	Loop	0	0	9	1	130	1	Áé²ÎÖ®Á¦
Status130	\spr\skill\others\totempole_proficient.spr	Head	Loop	0	0	16	1	50	1	»Æ½ğÁî
Status131	\spr\skill\others\totempole_mask.spr	Head	Loop	0	0	20	1	70	1	ÎŞË«É±Õó
Status132	\spr\skill\others\Î±×°.spr	Body	Loop	0	0	15	1	70	1	Î±×°¼¼ÄÜ
Status133	\spr\skill\task\wenhao.spr	Head	Loop	0	0	16	1	37	1	ÇéÈË½ÚÎÊºÅ
Status134	\spr\skill\task\process_000.spr	Foot	Loop	0	0	20	1	60	1	ÇéÈË½Ú½ø¶ÈÌõ
Status135	\spr\skill\others\ib_citymaster.spr	Foot	Loop	0	0	10	1	30	1	°×½ğ×°±¸Ğã
Status136	\spr\skill\others\title_new_zw.spr	Foot	Loop	0	0	15	1	15	1	ËÎ½ğÕÑÎäĞ£Î¾
Status137	\spr\skill\others\title_new_yl.spr	Foot	Loop	0	0	11	1	18	1	ËÎ½ğÓğÁÖÖĞÀÉ½«
Status138	\spr\skill\others\title_new_bj.spr	Foot	Loop	0	0	20	1	23	1	ËÎ½ğæôÆï´ó½«¾ü
Status139	\spr\skill\others\title_new_ab.spr	Foot	Loop	0	0	15	1	30	1	ËÎ½ğ°²°î´ó½«¾ü
Status140	\spr\skill\others\title_new_dg.spr	Foot	Loop	0	0	15	1	15	1	ËÎ½ğ¶¨¹úÔªË§
Status141	\spr\item\script\tisheng_skill.spr	Body	Loop	0	0	8	1	18	1	½ğÖÓÕÖ
Status142	\spr\skill\others\jingyingsaiguanjun.spr	Foot	Loop	0	0	15	1	15	1	¾«Ó¢Èü¹Ú¾ü
Status143	\spr\skill\others\jingyingsaiyajun.spr	Foot	Loop	0	0	15	1	15	1	¾«Ó¢ÈüÑÇ¾ü
Status144	\spr\skill\others\jingyingsaijijun.spr	Foot	Loop	0	0	15	1	15	1	¾«Ó¢Èü¼¾¾ü
Status145	\spr\skill\others\vip_guanghuan.spr	Foot	Loop	0	0	15	1	15	1	vipÕÊºÅ¹â»·
Status146	\spr\skill\others\hongguanhuan.spr	Foot	Loop	0	0	15	1	15	1	ºìÉ«¹â»·
Status147	\spr\skill\others\lvguagnhuan.spr	Foot	Loop	0	0	15	1	15	1	ÂÌÉ«¹â»·
Status148	\spr\skill\others\languanhuan.spr	Foot	Loop	0	0	15	1	15	1	À¶É«¹â»·
Status149	\spr\skill\others\jinguanhuan.spr	Foot	Loop	0	0	15	1	15	1	½ğÉ«¹â»·
Status150	\spr\skill\others\heiguanhuan.spr	Foot	Loop	0	0	15	1	15	1	ºÚÉ«¹â»·
Status151	\spr\skill\others\jianwangzhixia.spr	Foot	Loop	0	0	15	1	35	1	½£ÍøÖ®ÏÄ¸öÈË»îÔ¾¶È
Status152	\spr\skill\others\xianfengguan.spr	Foot	Loop	0	0	10	1	20	1	ÏÈ·æ¹Ù¹â»·
Status153	\spr\skill\others\bingmayuanshuai.spr	Foot	Loop	0	0	10	1	20	1	±øÂíÔªË§¹â»·
Status154	\spr\skill\others\dachengxiang.spr	Foot	Loop	0	0	10	1	20	1	´óØ©Ïà¹â»·
Status155	\spr\skill\others\huangdi.spr	Foot	Loop	0	0	10	1	50	1	»ÊµÛ¹â»·
Status156	\spr\skill\others\tianzi.spr	Foot	Loop	0	0	10	1	56	1	Ìì×Ó¹â»·
Status157	\spr\skill\others\chaoji_diyibang.spr	Foot	Loop	0	0	20	1	56	1	³¬¼¶µÚÒ»°ï
Status158	\spr\skill\others\gaoji_diyibang.spr	Foot	Loop	0	0	20	1	56	1	¸ß¼¶µÚÒ»°ï
Status159	\spr\skill\others\shengguanqindun.spr	Body	Loop	0	0	15	1	56	1	Ê¥¹âÇß¶Ü£¨Ğ§¹û£©
Status160	\spr\skill\zhongqiu\zq_sl_003.spr	Head	Loop	0	0	20	1	60	1	ºìÔÂ
Status161	\spr\skill\zhongqiu\lanyue.spr	Head	Loop	0	0	10	1	100	1	À¶ÔÂ
Status162	\spr\skill\others\vip_sc.spr	Foot	Loop	0	0	20	1	80	1	ÖĞ¼¶VIP¹â»·
Status163	\spr\skill\others\vip_sr.spr	Foot	Loop	0	0	20	1	20	1	¸ß¼¶VIP¹â»·
Status164	\spr\skill\others\vip_sp.spr	Foot	Loop	0	0	20	1	80	1	³¬¼¶VIP¹â»·
Status165	\spr\skill\others\dati.spr	Foot	Loop	0	0	20	1	56	1	´ğÌâ±ÈÈü¹â»·
Status166	\spr\item\newyear2010\×í¾Æ.spr	Head	Loop	0	0	12	1	110	1	×í¾Æ
Status167	\spr\skill\others\¸ñµ².spr	Head	Loop	0	0	20	1	56	1	
Status168	\spr\skill\others\ÖØ»÷.spr	Head	Loop	0	0	20	1	56	1	
Status169	\spr\skill\others\Ë²ÒÆ.spr	Head	Loop	0	0	50	1	56	1	
Status170	\spr\skill\others\zhongyueguanjun.spr	Body	Loop	0	0	30	1	56	1	ÖĞÔ½PKÈü¹Ú¾ü
Status171	\spr\skill\others\jianmianhui_1st.spr	Foot	Loop	0	0	20	1	80	1	Ê×½ì½ğÉ½ÂÛ½£¹â»·
Status172	\spr\skill\others\jianghugaoshou.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·½­ºş¸ßÊÖ
Status173	\spr\skill\others\wulinhaojie.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·ÎäÁÖºÀ½Ü
Status174	\spr\skill\others\jianxiazhizun.spr	Foot	Loop	0	0	15	1	15	1	VIPÕÊºÅ¹â»·½£ÏÀÖÁ×ğ
Status175	\spr\skill\others\dubutianxia.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·¶À²½ÌìÏÂ
Status176	\spr\skill\others\xiridaxia.spr	Foot	Loop	0	0	15	1	15	1	ÎôÈÕ´óÏÀ»î¶¯
Status177	\spr\skill\others\¶À¹ÂÇó°Ü.spr	Head	Loop	0	0	20	1	40	1	¶À¹ÂÇó°Ü
Status178	\spr\skill\others\ÎäÁÖÖÁ×ğ.spr	Head	Loop	0	0	20	1	40	1	ÎäÁÖÖÁ×ğ
Status179	\spr\skill\others\Ò»´ú×ÚÊ¦.spr	Head	Loop	0	0	20	1	40	1	Ò»´ú×ÚÊ¦
Status180	\spr\skill\others\¾øÊÀ¸ßÊÖ.spr	Head	Loop	0	0	20	1	40	1	¾øÊÀ¸ßÊÖ
Status181	\spr\skill\others\ÃûÂú½­ºş.spr	Head	Loop	0	0	20	1	40	1	ÃûÂú½­ºş
Status182	\spr\skill\others\ÏÀÃûÔ¶²¥.spr	Head	Loop	0	0	20	1	40	1	ÏÀÃûÔ¶²¥
Status183	\spr\skill\others\ÎäÁÖĞÂĞã.spr	Head	Loop	0	0	20	1	40	1	ÎäÁÖĞÂĞã
Status184	\spr\skill\others\³õÈë½­ºş.spr	Head	Loop	0	0	20	1	40	1	³õÈë½­ºş
Status185	\spr\skill\others\ÈëÃÅµÜ×Ó.spr	Head	Loop	0	0	20	1	40	1	ÈëÃÅµÜ×Ó
Status186	\spr\skill\others\longzhidui2.spr	Foot	Loop	0	0	15	1	15	1	2012ÁúÖ®¶Ó¹â»·
Status187	\spr\skill\others\pkno1tong.spr	Foot	Loop	0	0	15	1	60	1	2012ÖĞÔ½µÚÒ»°ï
Status188	spr\skill\ÃÅÅÉ½ø½×\½ğ.spr	Body	Loop	0	0	20	1	40	1	½ø½×boss½ğÏµ¹â»·
Status189	spr\skill\ÃÅÅÉ½ø½×\Ä¾.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossÄ¾Ïµ¹â»·
Status190	spr\skill\ÃÅÅÉ½ø½×\Ë®.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossË®Ïµ¹â»·
Status191	spr\skill\ÃÅÅÉ½ø½×\»ğ.spr	Body	Loop	0	0	20	1	40	1	½ø½×boss»ğÏµ¹â»·
Status192	spr\skill\ÃÅÅÉ½ø½×\ÍÁ.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossÍÁÏµ¹â»·
Status193	\spr\skill\others\jianghugaoshou.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÎäÑ§Ææ²Å¡±
Status194	\spr\skill\others\wulinhaojie.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ËÄ·½ÃûÉù¡±
Status195	\spr\skill\others\jianxiazhizun.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÉíÊÖ²»·²¡±
Status196	\spr\skill\others\dubutianxia.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÌìÏÂÎŞË«¡±
Status197	\spr\skill\partner\skill_bairenzhan.spr	Foot	Loop	0	0	20	1	25	1	×øÆï
Status198	spr\skill\others\vipez.spr	Foot	Loop	0	0	15	1	83	1	Ô½ÄÏ°æÌìÏÂÎŞµĞ½±Àø¹â»Æ
Status199	spr\skill\others\?ğ¹â»·	Head	Loop	0	0	20	1	56	1	?ğ¹â»·
Status200	spr\skill\others\jingyingsaiguanjun.spr	Foot	Loop	0	0	15	1	35	1	ÌìÏÂµÚÒ»°ï¹Ú¾ü
Status201	spr\skill\others\jingyingsaiguanjun_old.spr	Foot	Loop	0	0	15	1	45	1	ÌìÏÂµÚÒ»°ïÑÇ¾ü
Status202	spr\skill\others\jingyingsaijijun_old.spr	Foot	Loop	0	0	15	1	45	1	ÌìÏÂµÚÒ»°ï¼¾¾ü
Status203	\spr\skill\ºÚÉñ×°\ºÚÉñ.spr	Body	Loop	0	0	39	1	75	1	ºÚÉñ¹â»·
Status204	\spr\skill\´äÑÌ\mag_cy_08_±ùÇ½_b.spr	Foot	Loop	0	0	7	1	150	1	±ùÇ½Ğ§¹û
Status205	\spr\skill\songjin\dubatianxia.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÒ»Ãû¡°¶À²½ÌìÏÂ¡±
