Name	Type	Genre	Detail	Particular	Serise	Level	Param1	Param2	Param3	Param4	Param5	Param6	Proba	Costly	Msg	Log
紫水晶	1	4	239	1	0	1	0						5000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
兰水晶	1	4	238	1	0	1	0						5000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
绿水晶	1	4	240	1	0	1	0						5000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
猩红宝石	1	4	353	1	0	1	0						10000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
5级玄晶矿石	1	6	1	147	0	6	0						25580	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
4级玄晶矿石	1	6	1	147	0	5	0						50000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
3级玄晶矿石	1	6	1	147	0	4	0						100000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
3级玄晶矿石	1	6	1	147	0	1	0						30000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
2级玄晶矿石	1	6	1	147	0	1	0						50000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
1级玄晶矿石	1	6	1	147	0	1	0						150000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天山玉露	1	6	1	72	0	1	0						100000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
百果露	1	6	1	73	0	1	0						100000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
