FEATURE	DESC	TEAM_MASK_PRICE	TONG_MASK_PRICE
1045	易容面具-青年火刃	1428	5892
1046	易容面具-青年海棠	1428	5892
1047	易容面具-青年金锋	1428	5892
1056	易容面具-少年雷剑	1714	7142
1057	易容面具-少年笑霜	1714	7142
1058	易容面具-少年火刃	1714	7142
1059	易容面具-少年海棠	1714	7142
1060	易容面具-少年金锋	1714	7142
4	易容面具-雪豹	1142	3660
7	易容面具-青狼	1142	3660
12	易容面具-刺猬	1142	3660
17	易容面具-野牛	1142	3660
20	易容面具-眼镜蟒蛇	1142	3660
31	易容面具-金猫	1142	3660
38	易容面具-金丝猴	1142	3660
42	易容面具-梅花鹿	1142	3660
43	易容面具-白猪	1142	3660
623	易容面具-圣诞老人(红)	2000	7142
624	易容面具-圣诞天使(红)	2000	7142
726	节日面具-大头娃娃	1714	7142
727	节日面具-舞南狮子	1714	7142
728	节日面具-舞北狮子	1714	7142
729	节日面具-舞龙珠	1714	7142
730	节日面具-舞龙头	1714	7142
731	节日面具-舞龙身	1714	7142
732	节日面具-舞龙尾	1714	7142
1122	易容面具-新年侠客	2000	7142
1123	易容面具-新年侠女	2000	7142
1124	易容面具-雪兔	2000	7142
1125	易容面具-驯鹿	2000	7142
1126	易容面具-圣诞精灵(蓝)	2000	7142
1127	易容面具-圣诞精灵(紫)	2000	7142
1128	易容面具-圣诞精灵(红)	2000	7142
1129	易容面具-圣诞精灵(黄)	2000	7142
1130	易容面具-圣诞老人(蓝)	2000	7142
1131	易容面具-圣诞老人(粉)	2000	7142
1132	易容面具-圣诞老人(白)	2000	7142
1133	易容面具-圣诞老人(黄)	2000	7142
1134	易容面具-圣诞天使(蓝)	2000	7142
1135	易容面具-圣诞天使(粉)	2000	7142
1136	易容面具-圣诞天使(白)	2000	7142
1137	易容面具-圣诞天使(黄)	2000	7142
1141	易容面具-年兽	2000	7142
