ÅçèêùÅçèêùItemGenre	DetailType	ParticularType	Series	Level	IsNew	money	FuYuan	Coin	Score	GoldCoin	Contribution	Honour	GoldCoinScore	Ω±“π∫ŒÔ∑µªπµƒΩ±“ª˝∑÷	UniPriceType	UniPriceAmount	SaleLogRequired	CurrentPrice	PromotionBeginDate	PromotionEndDate	SaleBeginDate	SaleEndDate	ExpiredTime£®minute or YYYYmmdd£©	UsedTime£®minute or OnlineTime£©	ConsumeType(0-once;1-unlimit)	comment
0	0	1	3	7		15000											0									(Ch≠a c„ t™n) 0_0_1_3_7
0	0	1	3	8		20000											0									(Ch≠a c„ t™n) 0_0_1_3_8
0	0	1	3	9		25000											0									(Ch≠a c„ t™n) 0_0_1_3_9
0	0	1	3	10		30000											0									(Ch≠a c„ t™n) 0_0_1_3_10
0	0	2	0	1		100											0									Thi™u H·a C´n 
0	0	2	0	2		1500											0									T“ Mi C´n 
0	0	2	0	3		3000											0									Bµn Hoa C´n 
0	0	2	0	4		5000											0									HÊ V‹ C´n 
0	0	2	0	5		7500											0									Ti™u BÊng
0	0	2	0	6		10000											0									Can BÊng
0	0	2	0	7		15000											0									Lang Nha BÊng
0	0	2	0	8		21000											0									HÁn Thi’t BÊng
0	0	2	0	9		28000											0									Gi∏c H∂i BÊng
0	0	2	0	10		36000											0									Kim C´ BÊng
0	0	3	2	1		100											0									(Ch≠a c„ t™n) 0_0_3_2_1
0	0	3	2	2		1500											0									(Ch≠a c„ t™n) 0_0_3_2_2
0	0	3	2	3		3000											0									(Ch≠a c„ t™n) 0_0_3_2_3
0	0	3	2	4		5000											0									(Ch≠a c„ t™n) 0_0_3_2_4
0	0	3	2	5		7500											0									(Ch≠a c„ t™n) 0_0_3_2_5
0	0	3	2	6		10000											0									(Ch≠a c„ t™n) 0_0_3_2_6
0	0	3	2	7		15000											0									(Ch≠a c„ t™n) 0_0_3_2_7
0	0	3	2	8		21000											0									(Ch≠a c„ t™n) 0_0_3_2_8
0	0	3	2	9		28000											0									(Ch≠a c„ t™n) 0_0_3_2_9
0	0	3	2	10		36000											0									(Ch≠a c„ t™n) 0_0_3_2_10
0	0	4	0	1		100											0									To∏n ß«u chÔy
0	0	4	0	2		1200											0									B∏t L®ng chÔy
0	0	4	0	3		2700											0									NgÚ Tinh chÔy
0	0	4	0	4		4500											0									T›ch Lﬁch chÔy
0	0	4	0	5		7500											0									L≠Óng Ng©n chÔy 
0	0	4	0	6		9000											0									Lang Nha chÔy
0	0	4	0	7		13500											0									Li÷t T©m chÔy
0	0	4	0	8		20000											0									Kim Qua chÔy
0	0	4	0	9		27000											0									Nghi÷t Long chÔy
0	0	4	0	10		32000											0									Ph∏ Thi™n chÔy
0	0	5	2	1		100											0									(Ch≠a c„ t™n) 0_0_5_2_1
0	0	5	2	2		1200											0									(Ch≠a c„ t™n) 0_0_5_2_2
0	0	5	2	3		2700											0									(Ch≠a c„ t™n) 0_0_5_2_3
0	0	5	2	4		4800											0									(Ch≠a c„ t™n) 0_0_5_2_4
0	0	5	2	5		7500											0									(Ch≠a c„ t™n) 0_0_5_2_5
0	0	5	2	6		10800											0									(Ch≠a c„ t™n) 0_0_5_2_6
0	0	5	2	7		15000											0									(Ch≠a c„ t™n) 0_0_5_2_7
0	0	5	2	8		20000											0									(Ch≠a c„ t™n) 0_0_5_2_8
0	0	5	2	9		25000											0									(Ch≠a c„ t™n) 0_0_5_2_9
0	0	5	2	10		30000											0									(Ch≠a c„ t™n) 0_0_5_2_10
0	1	0	1	1		20											0									(Ch≠a c„ t™n) 0_1_0_1_1
0	1	0	1	2		30											0									(Ch≠a c„ t™n) 0_1_0_1_2
0	1	0	1	3		40											0									(Ch≠a c„ t™n) 0_1_0_1_3
0	1	0	1	4		60											0									(Ch≠a c„ t™n) 0_1_0_1_4
0	1	0	1	5		80											0									(Ch≠a c„ t™n) 0_1_0_1_5
0	1	0	1	6		100											0									(Ch≠a c„ t™n) 0_1_0_1_6
0	1	0	1	7		140											0									(Ch≠a c„ t™n) 0_1_0_1_7
0	1	0	1	8		180											0									(Ch≠a c„ t™n) 0_1_0_1_8
0	1	0	1	9		250											0									(Ch≠a c„ t™n) 0_1_0_1_9
0	1	0	1	10		330											0									(Ch≠a c„ t™n) 0_1_0_1_10
0	1	1	1	1		20											0									(Ch≠a c„ t™n) 0_1_1_1_1
0	1	1	1	2		30											0									(Ch≠a c„ t™n) 0_1_1_1_2
0	1	1	1	3		40											0									(Ch≠a c„ t™n) 0_1_1_1_3
0	1	1	1	4		60											0									(Ch≠a c„ t™n) 0_1_1_1_4
0	1	1	1	5		80											0									(Ch≠a c„ t™n) 0_1_1_1_5
0	1	1	1	6		100											0									(Ch≠a c„ t™n) 0_1_1_1_6
0	1	1	1	7		140											0									(Ch≠a c„ t™n) 0_1_1_1_7
0	1	1	1	8		180											0									(Ch≠a c„ t™n) 0_1_1_1_8
0	1	1	1	9		300											0									(Ch≠a c„ t™n) 0_1_1_1_9
0	1	1	1	10		330											0									(Ch≠a c„ t™n) 0_1_1_1_10
0	1	2	1	1		150											0									(Ch≠a c„ t™n) 0_1_2_1_1
0	1	2	1	2		400											0									(Ch≠a c„ t™n) 0_1_2_1_2
0	1	2	1	3		1000											0									(Ch≠a c„ t™n) 0_1_2_1_3
0	1	2	1	4		1600											0									(Ch≠a c„ t™n) 0_1_2_1_4
0	1	2	1	5		3000											0									(Ch≠a c„ t™n) 0_1_2_1_5
0	1	2	1	6		3500											0									(Ch≠a c„ t™n) 0_1_2_1_6
0	1	2	1	7		6500											0									(Ch≠a c„ t™n) 0_1_2_1_7
0	1	2	1	8		7500											0									(Ch≠a c„ t™n) 0_1_2_1_8
0	1	2	1	9		10000											0									(Ch≠a c„ t™n) 0_1_2_1_9
0	1	2	1	10		15000											0									(Ch≠a c„ t™n) 0_1_2_1_10
0	2	0	3	1		100											0									(Ch≠a c„ t™n) 0_2_0_3_1
0	2	0	3	2		400											0									(Ch≠a c„ t™n) 0_2_0_3_2
0	2	0	3	3		800											0									(Ch≠a c„ t™n) 0_2_0_3_3
0	2	0	3	4		1000											0									(Ch≠a c„ t™n) 0_2_0_3_4
0	2	0	3	5		2000											0									(Ch≠a c„ t™n) 0_2_0_3_5
0	2	0	3	6		3000											0									(Ch≠a c„ t™n) 0_2_0_3_6
0	2	0	3	7		4000											0									(Ch≠a c„ t™n) 0_2_0_3_7
0	2	0	3	8		5000											0									(Ch≠a c„ t™n) 0_2_0_3_8
0	2	1	0	1		100											0									ßπo s‹ v‚ bµo
0	2	1	0	2		300											0									ßπo s‹ tr≠Íng bµo
0	2	1	0	3		600											0									T‹nh y
0	2	1	0	4		900											0									Thanh TÔng Ph∏p bµo
0	2	1	0	5		1600											0									Thi™n s≠ Æπo bµo
0	2	1	0	6		2500											0									Huy“n V‚ ph∏p y
0	2	1	0	7		3500											0									Th t B∂o Hπ y
0	2	1	0	8		4500											0									Tam Thanh Bµo
0	2	2	4	1		100											0									(Ch≠a c„ t™n) 0_2_2_4_1
0	2	2	4	2		500											0									(Ch≠a c„ t™n) 0_2_2_4_2
0	2	2	4	3		1000											0									(Ch≠a c„ t™n) 0_2_2_4_3
0	2	2	4	4		2500											0									(Ch≠a c„ t™n) 0_2_2_4_4
0	2	2	4	5		6000											0									(Ch≠a c„ t™n) 0_2_2_4_5
0	2	2	4	6		10000											0									(Ch≠a c„ t™n) 0_2_2_4_6
0	2	2	4	7		15000											0									(Ch≠a c„ t™n) 0_2_2_4_7
0	2	2	4	8		20000											0									(Ch≠a c„ t™n) 0_2_2_4_8
0	2	2	4	9		25000											0									(Ch≠a c„ t™n) 0_2_2_4_9
0	2	2	4	10		30000											0									(Ch≠a c„ t™n) 0_2_2_4_10
0	2	3	3	1		100											0									(Ch≠a c„ t™n) 0_2_3_3_1
0	2	3	3	2		400											0									(Ch≠a c„ t™n) 0_2_3_3_2
0	2	3	3	3		800											0									(Ch≠a c„ t™n) 0_2_3_3_3
0	2	3	3	4		2000											0									(Ch≠a c„ t™n) 0_2_3_3_4
0	2	3	3	5		5000											0									(Ch≠a c„ t™n) 0_2_3_3_5
0	2	3	3	6		7000											0									(Ch≠a c„ t™n) 0_2_3_3_6
0	2	3	3	7		9000											0									(Ch≠a c„ t™n) 0_2_3_3_7
0	2	3	3	8		12000											0									(Ch≠a c„ t™n) 0_2_3_3_8
0	2	3	3	9		16000											0									(Ch≠a c„ t™n) 0_2_3_3_9
0	2	3	3	10		20000											0									(Ch≠a c„ t™n) 0_2_3_3_10
0	2	4	3	1		400											0									(Ch≠a c„ t™n) 0_2_4_3_1
0	2	4	3	2		1000											0									(Ch≠a c„ t™n) 0_2_4_3_2
0	2	4	3	3		2500											0									(Ch≠a c„ t™n) 0_2_4_3_3
0	2	4	3	4		5000											0									(Ch≠a c„ t™n) 0_2_4_3_4
0	2	4	3	5		10000											0									(Ch≠a c„ t™n) 0_2_4_3_5
0	2	4	3	6		16000											0									(Ch≠a c„ t™n) 0_2_4_3_6
0	2	4	3	7		25000											0									(Ch≠a c„ t™n) 0_2_4_3_7
0	2	4	3	8		32000											0									(Ch≠a c„ t™n) 0_2_4_3_8
0	2	4	3	9		40000											0									(Ch≠a c„ t™n) 0_2_4_3_9
0	2	4	3	10		50000											0									(Ch≠a c„ t™n) 0_2_4_3_10
0	2	5	0	1		100											0									Lan BË y
0	2	5	0	2		250											0									PhÊ th´ng C∏i y
0	2	5	0	3		500											0									∏o ®n mµy
0	2	5	0	4		800											0									ThÊ Ma C∏i y
0	2	5	0	5		1200											0									T«m Ma C∏i y
0	2	5	0	6		1800											0									H·a Ma C∏i y
0	2	5	0	7		2500											0									ThÀp ph≠¨ng C∏i y
0	2	5	0	8		3200											0									B∏ch k’t C∏i y
0	2	6	4	1		100											0									(Ch≠a c„ t™n) 0_2_6_4_1
0	2	6	4	2		100											0									(Ch≠a c„ t™n) 0_2_6_4_2
0	2	6	4	3		100											0									(Ch≠a c„ t™n) 0_2_6_4_3
0	2	6	4	4		100											0									(Ch≠a c„ t™n) 0_2_6_4_4
0	2	6	4	5		6000											0									(Ch≠a c„ t™n) 0_2_6_4_5
0	2	6	4	6		10000											0									(Ch≠a c„ t™n) 0_2_6_4_6
0	2	6	4	7		15000											0									(Ch≠a c„ t™n) 0_2_6_4_7
0	2	6	4	8		20000											0									(Ch≠a c„ t™n) 0_2_6_4_8
0	2	7	2	1		100											0									(Ch≠a c„ t™n) 0_2_7_2_1
0	2	7	2	2		400											0									(Ch≠a c„ t™n) 0_2_7_2_2
0	2	7	2	3		800											0									(Ch≠a c„ t™n) 0_2_7_2_3
0	2	7	2	4		1000											0									(Ch≠a c„ t™n) 0_2_7_2_4
0	2	7	2	5		2000											0									(Ch≠a c„ t™n) 0_2_7_2_5
0	2	7	2	6		3000											0									(Ch≠a c„ t™n) 0_2_7_2_6
0	2	7	2	7		4000											0									(Ch≠a c„ t™n) 0_2_7_2_7
0	2	7	2	8		5000											0									(Ch≠a c„ t™n) 0_2_7_2_8
0	2	8	3	1		100											0									(Ch≠a c„ t™n) 0_2_8_3_1
0	2	8	3	2		300											0									(Ch≠a c„ t™n) 0_2_8_3_2
0	2	8	3	3		600											0									(Ch≠a c„ t™n) 0_2_8_3_3
0	2	8	3	4		900											0									(Ch≠a c„ t™n) 0_2_8_3_4
0	2	8	3	5		1600											0									(Ch≠a c„ t™n) 0_2_8_3_5
0	2	8	3	6		2500											0									(Ch≠a c„ t™n) 0_2_8_3_6
0	2	8	3	7		3500											0									(Ch≠a c„ t™n) 0_2_8_3_7
0	2	8	3	8		4500											0									(Ch≠a c„ t™n) 0_2_8_3_8
0	2	9	0	1		100											0									ThÙc C»m y
0	2	9	0	2		500											0									L®ng T¨ y
0	2	9	0	3		1000											0									C»m Tr‰ng y
0	2	9	0	4		2500											0									Linh Xµ y
0	2	9	0	5		6000											0									Huy“n Ly y
0	2	9	0	6		10000											0									Hæc B∏o y
0	2	9	0	7		15000											0									HÊ B◊ y
0	2	9	0	8		20000											0									VÀn Ngh™ th≠Íng
0	2	9	0	9		25000											0									M™ HÂn Th≠Íng
0	2	9	0	10		30000											0									Cˆu V‹ Bπch HÂ trang
0	7	0	0	1		100											0									Sa Di GiÌi C´ 
0	7	0	0	2		250											0									T®ng GiÌi C´ 
0	7	0	0	3		500											0									PhÀt  n GiÌi C´ 
0	7	0	0	4		800											0									T®ng Giµ GiÌi C´ 
0	7	0	0	5		1200											0									Kh´n LÈc m∑o
0	7	0	0	6		1800											0									L©m Li™n M∑o
0	7	0	0	7		2500											0									PhÔ Dung M∑o
0	7	0	0	8		3200											0									Th»m Lu©n M∑o
0	7	1	4	1		100											0									(Ch≠a c„ t™n) 0_7_1_4_1
0	7	1	4	2		200											0									(Ch≠a c„ t™n) 0_7_1_4_2
0	7	1	4	3		400											0									(Ch≠a c„ t™n) 0_7_1_4_3
0	7	1	4	4		700											0									(Ch≠a c„ t™n) 0_7_1_4_4
0	7	1	4	5		1000											0									(Ch≠a c„ t™n) 0_7_1_4_5
0	7	1	4	6		1500											0									(Ch≠a c„ t™n) 0_7_1_4_6
0	7	1	4	7		2000											0									(Ch≠a c„ t™n) 0_7_1_4_7
0	7	1	4	8		2500											0									(Ch≠a c„ t™n) 0_7_1_4_8
0	7	2	0	1		100											0									TrÛc Lπp
0	7	2	0	2		300											0									Ng≠ Lπp
0	7	2	0	3		600											0									Th»m L´ Th∂o M∑o
0	7	2	0	4		1000											0									Chu Tao th∂o M∑o
0	7	2	0	5		1600											0									Huy“n Sa Di÷n Tr∏o
0	7	2	0	6		2400											0									Thanh S∏t di÷n tr∏o
0	7	2	0	7		3500											0									Nh©n B◊ Di÷n Tr∏o
0	7	2	0	8		4800											0									NgÚ ßÈc ph∏t k’t
0	7	2	0	9		6400											0									B∏ch ßÈc ph∏t k’t
0	7	2	0	10		8000											0									Tu La Ph∏t k’t
0	7	3	3	1		120											0									(Ch≠a c„ t™n) 0_7_3_3_1
0	7	3	3	2		320											0									(Ch≠a c„ t™n) 0_7_3_3_2
0	7	3	3	9		6000											0									(Ch≠a c„ t™n) 0_7_3_3_9
0	7	3	3	10		7500											0									(Ch≠a c„ t™n) 0_7_3_3_10
0	7	4	2	1		370											0									(Ch≠a c„ t™n) 0_7_4_2_1
0	7	4	2	2		610											0									(Ch≠a c„ t™n) 0_7_4_2_2
0	7	4	2	3		1120											0									(Ch≠a c„ t™n) 0_7_4_2_3
0	7	4	2	4		1800											0									(Ch≠a c„ t™n) 0_7_4_2_4
0	7	4	2	5		2700											0									(Ch≠a c„ t™n) 0_7_4_2_5
0	7	4	2	6		3700											0									(Ch≠a c„ t™n) 0_7_4_2_6
0	7	4	2	7		5100											0									(Ch≠a c„ t™n) 0_7_4_2_7
0	7	4	2	8		6500											0									(Ch≠a c„ t™n) 0_7_4_2_8
0	7	4	2	9		8100											0									(Ch≠a c„ t™n) 0_7_4_2_9
0	7	4	2	10		10000											0									(Ch≠a c„ t™n) 0_7_4_2_10
0	7	5	2	1		60											0									(Ch≠a c„ t™n) 0_7_5_2_1
0	7	5	3	2		160											0									(Ch≠a c„ t™n) 0_7_5_3_2
0	7	5	3	3		370											0									(Ch≠a c„ t™n) 0_7_5_3_3
0	7	5	3	4		600											0									(Ch≠a c„ t™n) 0_7_5_3_4
0	7	5	3	5		900											0									(Ch≠a c„ t™n) 0_7_5_3_5
0	7	5	3	6		1200											0									(Ch≠a c„ t™n) 0_7_5_3_6
0	7	5	3	7		1800											0									(Ch≠a c„ t™n) 0_7_5_3_7
0	7	5	3	8		2500											0									(Ch≠a c„ t™n) 0_7_5_3_8
0	7	6	1	1		120											0									(Ch≠a c„ t™n) 0_7_6_1_1
0	7	6	1	2		320											0									(Ch≠a c„ t™n) 0_7_6_1_2
0	7	6	1	3		750											0									(Ch≠a c„ t™n) 0_7_6_1_3
0	7	6	1	4		1200											0									(Ch≠a c„ t™n) 0_7_6_1_4
0	7	6	1	5		1800											0									(Ch≠a c„ t™n) 0_7_6_1_5
0	7	6	1	6		2500											0									(Ch≠a c„ t™n) 0_7_6_1_6
0	7	6	1	7		3700											0									(Ch≠a c„ t™n) 0_7_6_1_7
0	7	6	1	8		5000											0									(Ch≠a c„ t™n) 0_7_6_1_8
0	7	6	1	9		6000											0									(Ch≠a c„ t™n) 0_7_6_1_9
0	7	6	1	10		7500											0									(Ch≠a c„ t™n) 0_7_6_1_10
0	7	7	1	1		100											0									(Ch≠a c„ t™n) 0_7_7_1_1
0	7	7	1	5		1200											0									(Ch≠a c„ t™n) 0_7_7_1_5
0	7	7	1	6		1800											0									(Ch≠a c„ t™n) 0_7_7_1_6
0	7	7	1	7		2500											0									(Ch≠a c„ t™n) 0_7_7_1_7
0	7	7	1	8		3200											0									(Ch≠a c„ t™n) 0_7_7_1_8
0	7	8	2	1		100											0									(Ch≠a c„ t™n) 0_7_8_2_1
0	7	8	2	2		200											0									(Ch≠a c„ t™n) 0_7_8_2_2
0	7	8	2	3		400											0									(Ch≠a c„ t™n) 0_7_8_2_3
0	7	8	2	4		700											0									(Ch≠a c„ t™n) 0_7_8_2_4
0	7	8	2	5		1000											0									(Ch≠a c„ t™n) 0_7_8_2_5
0	7	8	2	6		1500											0									(Ch≠a c„ t™n) 0_7_8_2_6
0	7	8	2	7		2000											0									(Ch≠a c„ t™n) 0_7_8_2_7
0	7	8	2	8		2500											0									(Ch≠a c„ t™n) 0_7_8_2_8
0	7	8	2	9		3200											0									(Ch≠a c„ t™n) 0_7_8_2_9
0	7	8	2	10		4000											0									(Ch≠a c„ t™n) 0_7_8_2_10
0	5	0	3	1		70											0									(Ch≠a c„ t™n) 0_5_0_3_1
0	5	0	3	2		260											0									(Ch≠a c„ t™n) 0_5_0_3_2
0	5	0	3	3		650											0									(Ch≠a c„ t™n) 0_5_0_3_3
0	5	0	3	4		1000											0									(Ch≠a c„ t™n) 0_5_0_3_4
0	5	0	3	5		1600											0									(Ch≠a c„ t™n) 0_5_0_3_5
0	5	0	3	6		2500											0									(Ch≠a c„ t™n) 0_5_0_3_6
0	5	0	3	7		3300											0									(Ch≠a c„ t™n) 0_5_0_3_7
0	5	0	3	8		3850											0									(Ch≠a c„ t™n) 0_5_0_3_8
0	5	1	0	1		150											0									Ng≠u B◊ ngoa
0	5	1	0	2		600											0									TÀt Ngoa
0	5	1	0	3		1400											0									§ B◊ Ngoa
0	5	1	0	4		2400											0									ßªng MÈng Ngoa
0	5	1	0	5		3600											0									Phi La Ngoa
0	5	1	0	6		5000											0									LÙc ThÛy Ngoa
0	5	1	0	7		6500											0									HÊ B◊ Ngoa
0	5	1	0	8		9000											0									T™ B◊ Ngoa
0	5	2	2	1		70											0									(Ch≠a c„ t™n) 0_5_2_2_1
0	5	2	2	2		260											0									(Ch≠a c„ t™n) 0_5_2_2_2
0	5	2	2	3		650											0									(Ch≠a c„ t™n) 0_5_2_2_3
0	5	2	2	4		1000											0									(Ch≠a c„ t™n) 0_5_2_2_4
0	5	2	2	5		1600											0									(Ch≠a c„ t™n) 0_5_2_2_5
0	5	2	2	6		2500											0									(Ch≠a c„ t™n) 0_5_2_2_6
0	5	2	2	7		3300											0									(Ch≠a c„ t™n) 0_5_2_2_7
0	5	2	2	8		3850											0									(Ch≠a c„ t™n) 0_5_2_2_8
0	5	3	2	1		150											0									(Ch≠a c„ t™n) 0_5_3_2_1
0	5	3	2	2		600											0									(Ch≠a c„ t™n) 0_5_3_2_2
0	5	3	2	3		1400											0									(Ch≠a c„ t™n) 0_5_3_2_3
0	5	3	2	4		2400											0									(Ch≠a c„ t™n) 0_5_3_2_4
0	5	3	2	5		3600											0									(Ch≠a c„ t™n) 0_5_3_2_5
0	5	3	2	6		5000											0									(Ch≠a c„ t™n) 0_5_3_2_6
0	5	3	2	7		6500											0									(Ch≠a c„ t™n) 0_5_3_2_7
0	5	3	2	8		9000											0									(Ch≠a c„ t™n) 0_5_3_2_8
0	6	0	1	1		50											0									(Ch≠a c„ t™n) 0_6_0_1_1
0	6	0	1	2		300											0									(Ch≠a c„ t™n) 0_6_0_1_2
0	6	0	1	3		800											0									(Ch≠a c„ t™n) 0_6_0_1_3
0	6	0	1	4		1800											0									(Ch≠a c„ t™n) 0_6_0_1_4
0	6	0	1	5		3000											0									(Ch≠a c„ t™n) 0_6_0_1_5
0	6	0	1	6		4500											0									(Ch≠a c„ t™n) 0_6_0_1_6
0	6	0	1	7		5400											0									(Ch≠a c„ t™n) 0_6_0_1_7
0	6	0	1	8		7000											0									(Ch≠a c„ t™n) 0_6_0_1_8
0	6	1	3	1		330											0									(Ch≠a c„ t™n) 0_6_1_3_1
0	6	1	3	2		900											0									(Ch≠a c„ t™n) 0_6_1_3_2
0	6	1	3	3		2400											0									(Ch≠a c„ t™n) 0_6_1_3_3
0	6	1	3	4		3700											0									(Ch≠a c„ t™n) 0_6_1_3_4
0	6	1	3	5		5400											0									(Ch≠a c„ t™n) 0_6_1_3_5
0	6	1	3	6		7400											0									(Ch≠a c„ t™n) 0_6_1_3_6
0	6	1	3	7		9800											0									(Ch≠a c„ t™n) 0_6_1_3_7
0	6	1	3	8		14000											0									(Ch≠a c„ t™n) 0_6_1_3_8
0	8	0	0	1		100											0									Thanh ßÂng ThÒ Trπc
0	8	0	0	2		300											0									Luy÷n ßÂng ThÒ Trπc
0	8	0	0	3		600											0									T n Thi’t HÈ Uy”n
0	8	0	0	4		1000											0									Ng©n T¨ Trπc
0	8	0	0	5		1800											0									Kim T¨ Trπc
0	8	0	0	6		2600											0									Bπch Ng‰c Trπc
0	8	0	0	7		3600											0									Phÿ ThÛy Ng‰c Trπc
0	8	0	0	8		4900											0									 §n L≠¨ng Ng‰c TRπc
0	8	1	0	1		100											0									Ng≠u B◊ HÈ Uy”n
0	8	1	0	2		300											0									Lang B◊ HÈ Uy”n
0	8	1	0	3		600											0									§ ßªng HÈ Uy”n
0	8	1	0	4		1000											0									M∑ng B◊ HÈ Uy”n
0	8	1	0	5		1800											0									Ngπc B◊ HÈ Uy”n
0	8	1	0	6		2600											0									T≠Óng B◊ HÈ Uy”n
0	8	1	0	7		3600											0									Sa B◊ HÈ Uy”n
0	8	1	0	8		4900											0									T™ Gi∏c HÈ Uy”n
0	10	0	4	1		5000											0									(Ch≠a c„ t™n) 0_10_0_4_1
0	10	0	4	2		5000											0									(Ch≠a c„ t™n) 0_10_0_4_2
0	10	0	4	3		10000											0									(Ch≠a c„ t™n) 0_10_0_4_3
0	10	0	4	4		10000											0									(Ch≠a c„ t™n) 0_10_0_4_4
0	10	0	4	5		20000											0									(Ch≠a c„ t™n) 0_10_0_4_5
0	10	0	4	6		20000											0									(Ch≠a c„ t™n) 0_10_0_4_6
0	10	0	4	7		50000											0									(Ch≠a c„ t™n) 0_10_0_4_7
0	10	0	4	8		50000											0									(Ch≠a c„ t™n) 0_10_0_4_8
0	10	0	4	9		100000											0									(Ch≠a c„ t™n) 0_10_0_4_9
0	10	0	4	10		100000											0									(Ch≠a c„ t™n) 0_10_0_4_10
0	10	1	1	1		5000											0									Li÷t Thanh M∑ 
0	10	1	1	2		5000											0									Li÷t Thanh M∑ 
0	10	1	1	3		10000											0									Thanh Th´ng
0	10	1	1	4		10000											0									Thanh Th´ng
0	10	1	1	5		20000											0									Tˆ L≠u
0	10	1	1	6		20000											0									Tˆ L≠u
0	10	1	1	7		50000											0									ßπi Uy”n Thanh M∑ 
0	10	1	1	8		50000											0									ßπi Uy”n Thanh M∑ 
0	10	1	1	9		100000											0									Hoa L≠u
0	10	1	1	10		100000											0									Hoa L≠u
0	10	2	0	1		5000											0									(Ch≠a c„ t™n) 0_10_2_0_1
0	10	2	0	2		5000											0									(Ch≠a c„ t™n) 0_10_2_0_2
0	10	2	0	3		10000											0									(Ch≠a c„ t™n) 0_10_2_0_3
0	10	2	0	4		10000											0									(Ch≠a c„ t™n) 0_10_2_0_4
0	10	2	0	5		20000											0									(Ch≠a c„ t™n) 0_10_2_0_5
0	10	2	0	6		20000											0									(Ch≠a c„ t™n) 0_10_2_0_6
0	10	2	0	7		50000											0									(Ch≠a c„ t™n) 0_10_2_0_7
0	10	2	0	8		50000											0									(Ch≠a c„ t™n) 0_10_2_0_8
0	10	2	0	9		100000											0									(Ch≠a c„ t™n) 0_10_2_0_9
0	10	2	0	10		100000											0									(Ch≠a c„ t™n) 0_10_2_0_10
0	10	3	2	1		5000											0									(Ch≠a c„ t™n) 0_10_3_2_1
0	10	3	2	2		5000											0									(Ch≠a c„ t™n) 0_10_3_2_2
